name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Shop Pass by Scab Shop,175,18.86,13.48,0.08,337,26.96,1326,2500.0
THE COACH NFT,1,0.11,0.2,0.23,1,0.23,223,500.0
Quantum Key,307,33.08,38.03,2.99,386,1154.14,847,1015.0
Grails by PROOF Collective,508,54.74,72.1,1.92,747,1434.24,661,1036.0
Elemental by Fang Lijun,127,13.69,7.57,1.45,153,221.85,1278,2022.0
The Kiss Precise,72,7.76,16.35,0.16,122,19.52,445,746.0
Emotes by Heart You,495,53.34,45.5,0.38,652,247.76,1115,1433.0
Queens+Kings Traits,47,5.06,4.02,0.02,497,9.94,586,12372.0
Ben Mezrich Project - Meme Stock Collection,40,4.31,1.3,0.04,78,3.12,3549,6000.0
Queens+Kings,322,34.7,6.8,0.18,492,88.56,2539,7238.0
SEEDS by Lucien Smith,4,0.43,0.42,0.08,7,0.56,695,1676.0
PROOF Collective,928,100.0,100.0,85.0,1000,85000.0,928,1000.0
ABSOLUTELY DO NOT MINT,67,7.22,5.32,0.24,199,47.76,1249,3743.0
Chromie Squiggle by Snowfro,164,17.67,7.15,5.9,665,3923.5000000000005,2368,9305.0
AiVATAR,25,2.69,5.23,0.01,314,3.14,1515,6000.0
Within/Without,6,0.65,2.6,0.33,8,2.64,199,308.0
The Kiss by Gustav Klimt - Belvedere Museum powered by arteQ,3,0.32,0.03,0.31,3,0.9299999999999999,1785,10001.0
Dead Ringers: Edition by Dmitri Cherniak,250,26.94,25000.0,0.02,250,5.0,20067,1.0
SUPERPLASTIC:  Headtripz,7,0.75,0.5,0.08,48,3.84,3427,9632.0
The Jims,22,2.37,3.08,0.09,63,5.67,1098,2048.0
SUPERPLASTIC: OGs,6,0.65,1.01,0.11,14,1.54,401,1384.0
Every Icon,32,3.45,9.18,0.15,47,7.05,314,512.0
Floppydisk.xyz,5,0.54,0.69,0.0,10,0.0,679,1440.0
StrangeAttractors,8,0.86,4.17,0.22,22,4.84,291,527.0
Spectron by Simon De Mai,10,1.08,5.75,2.25,23,51.75,208,400.0
Mirror Editions - i52sBTNqG4,14,1.51,0.53,0.05,17,0.8500000000000001,2421,3199.0
LOSTPOETS,53,5.71,1.32,0.12,368,44.16,8375,27792.0
Scribbled Boundaries by William Tan,28,3.02,5.18,0.55,53,29.150000000000002,652,1024.0
Unknown Signals by k0ch,10,1.08,1.0,0.04,10,0.4,676,1000.0
Brotchain,13,1.4,5.31,0.69,27,18.63,341,508.0
Regenz,2,0.22,0.04,0.0,3,0.0,1356,7916.0
Avid Lines,17,1.83,5.8,2.5,29,72.5,262,500.0
SUPERPLASTIC: Cryptojankyz,36,3.88,0.46,0.18,64,11.52,5773,13868.0
The Wicked Craniums,13,1.4,0.21,0.13,23,2.99,4453,10762.0
Uniswap V3 Positions,43,4.63,0.07,0.0,156,0.0,60085,214229.0
The Fungible by Pak,13,1.4,0.29,2.98,18,53.64,892,6302.0
Six n Five,1,0.11,0.12,0.31,1,0.31,106,833.0
BlockArt,18,1.94,0.37,0.02,40,0.8,2902,10758.0
Trevor Andrew,2,0.22,0.14,0.25,2,0.5,120,1459.0
FEWOCiOUS,11,1.19,1.11,1.69,19,32.11,896,1705.0
ENS: Ethereum Name Service,405,43.64,0.15,0.0059,1067,6.2953,316406,712748.0
SuperRare,59,6.36,1.23,0.15,377,56.55,6486,30659.0
MakersPlace,43,4.63,0.24,0.02,202,4.04,16049,84419.0
Deep Journeys by Heavens Last Angel,27,2.91,7.4,0.17,37,6.29,338,500.0
Brain Loops by Gene Kogan,49,5.28,7.6,0.2,76,15.200000000000001,585,1000.0
Dream Capsules by Obvious,34,3.66,5.4,0.07,54,3.7800000000000002,583,1000.0
Confluence by Devi Parikh,46,4.96,11.0,0.1,110,11.0,604,1000.0
Genesis by Claire Silver,40,4.31,14.8,2.4,74,177.6,371,500.0
podGANS by Pindar Van Arman,55,5.93,13.77,0.65,141,91.65,667,1024.0
RTFKT - MNLTH,89,9.59,8900.0,6.78,89,603.4200000000001,9049,1.0
PREMINT Collector Pass - OFFICIAL,360,38.79,6.16,0.85,616,523.6,7663,10000.0
EightBit Me,122,13.15,6.05,0.06,538,32.28,2707,8888.0
the Universe Machine by Joshua Davis / PrayStation,38,4.09,14.18,0.25,39,9.75,222,275.0
The Seekers,19,2.05,0.65,0.08,313,25.04,6008,47891.0
Gutter Punks Flyer - Meebits,100,10.78,2.49,0.01,497,4.97,6119,19999.0
Proofer DAO,36,3.88,3600.0,2.15,36,77.39999999999999,100,1.0
Probably Something Genesis Passes,31,3.34,23.21,5.0,39,195.0,141,168.0
- TronWars -,9,0.97,0.14,0.07,12,0.8400000000000001,4777,8888.0
