name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
BFF Friendship Bracelets,56,6.03,0.84,0.99,71,70.29,7106,8444.0
TOKYO PUNKS by SABET,51,5.5,2.04,0.08,99,7.92,2779,4850.0
Angry Ape Army Evolution Collection,42,4.53,1.41,0.19,141,26.79,2682,10000.0
Sacred Skulls (Official),23,2.48,0.66,0.05,59,2.95,3921,8888.0
Zipcy's SuperNormal,69,7.44,1.63,0.29,145,42.05,4535,8888.0
AO Art Ball,15,1.62,0.27,0.1,18,1.8,4094,6776.0
Larva Lads,33,3.56,1.36,0.08,68,5.44,2671,5000.0
ZenAcademy,75,8.08,3950.0,0.28,79,22.12,5334,2.0
Platon Genesis NFT Collection,34,3.66,300.0,0.13,42,5.46,126,14.0
Lofi Originals Portal,33,3.56,1.47,0.0,67,0.0,2785,4544.0
UkiyoPIayers Official,30,3.23,1.47,0.0,59,0.0,2480,4007.0
Azuki,57,6.14,1.38,23.0,138,3174.0,5470,10000.0
Totality by Hideki Tsukamoto,23,2.48,5.71,0.29,23,6.67,388,403.0
Bent by ippsketch,27,2.91,7.14,0.69,73,50.37,555,1023.0
Gallery Premium Membership Cards,63,6.79,937.5,0.2,75,15.0,1080,8.0
Doodles,54,5.82,1.2,13.9,120,1668.0,4643,10000.0
Fusion by Hideki Tsukamoto,19,2.05,5.08,0.3,52,15.6,588,1024.0
6529 Gradient,2,0.22,1.98,10.65,2,21.3,48,101.0
CrypToadz by GREMPLIN,97,10.45,3.25,2.35,228,535.8000000000001,3998,7014.0
Loot (for Adventurers),38,4.09,0.9,1.68,70,117.6,2569,7779.0
Singularity by Hideki Tsukamoto,23,2.48,4.98,2.6,51,132.6,396,1024.0
Lunar Moon Plots,1,0.11,0.42,3.3,1,3.3,173,239.0
Cyber Curated,3,0.32,133.33,15.0,4,60.0,74,3.0
My Soulwax,2,0.22,22.22,0.03,2,0.06,14,9.0
Foundation (FND),101,10.88,0.7,0.04,812,32.480000000000004,17580,116629.0
CryptoPunks,67,7.22,1.71,64.95,171,11106.45,3428,9999.0
Shackled Genesis,66,7.11,13.87,0.08,142,11.36,405,1024.0
RTFKT PodX,79,8.51,7900.0,0.8,79,63.2,9107,1.0
Mutant Lads,3,0.32,1.01,0.03,13,0.39,721,1283.0
Screens by Thomas Lin Pedersen,25,2.69,6.0,1.29,60,77.4,504,1000.0
CryptoBatz by Ozzy Osbourne,21,2.26,0.33,0.19,32,6.08,6632,9666.0
Rubber Duckz,127,13.69,13.8,0.47,276,129.72,872,2000.0
Wolf Doods,1,0.11,1.54,0.01,20,0.2,296,1297.0
Larva Doods,9,0.97,0.46,0.01,41,0.41000000000000003,4195,8888.0
Larva Chads,14,1.51,1.88,0.02,94,1.8800000000000001,1681,5000.0
ChainFaces Arena,39,4.2,0.44,0.04,118,4.72,5656,26969.0
LinksDAO,48,5.17,1.0,0.36,91,32.76,5284,9090.0
Yung Ape Squad Official,8,0.86,0.27,0.03,18,0.54,3032,6643.0
Kindergarten BabyApes (KBA),2,0.22,0.09,0.02,9,0.18,5389,10000.0
The ApeDads,3,0.32,0.12,0.08,5,0.4,2195,4000.0
alien frens,27,2.91,0.86,1.88,86,161.67999999999998,6898,10000.0
PuzlPunk Parts,1,0.11,0.21,0.0,36,0.0,453,17262.0
PuzlPack (Punks),3,0.32,0.26,0.02,26,0.52,1240,9999.0
Wolf Game - Wool Pouch,30,3.23,2.23,0.39,212,82.68,2958,9520.0
Apes In Space NFT,4,0.43,0.04,0.03,4,0.12,6544,9999.0
Glitchy Bitches,21,2.26,6.58,0.04,77,3.08,238,1170.0
Cool Dogs Official,3,0.32,0.84,0.08,42,3.36,2424,5000.0
1989 Sisters,12,1.29,2.66,0.55,53,29.150000000000002,726,1989.0
Goofball Gang,3,0.32,0.13,0.05,7,0.35000000000000003,2055,5472.0
Cyber Factory 2,92,9.91,2100.0,0.54,105,56.7,9397,5.0
MondrianNFT,4,0.43,0.22,0.01,9,0.09,1829,4096.0
ExpansionPunks,12,1.29,0.53,0.07,53,3.7100000000000004,3230,9985.0
MAX PAIN AND FRENS BY XCOPY,72,7.76,1.59,0.93,119,110.67,3633,7469.0
mf3rs,9,0.97,0.54,0.01,54,0.54,2393,10000.0
"IlluminatiNFT, The Believer",29,3.12,2900.0,0.05,29,1.4500000000000002,3100,1.0
Seekers of Truth IlluminatiNFT Mint Pass,34,3.66,1500.0,0.02,60,1.2,3837,4.0
Never Fear Truth  by Johnny Depp,9,0.97,0.26,0.3,10,3.0,2189,3850.0
Censored*,49,5.28,0.16,0.0,49,0.0,29766,29766.0
A LIT Invitation to Kindness,30,3.23,1000.0,0.01,30,0.3,6115,3.0
LIT Project Two: Flux,32,3.45,0.82,0.02,36,0.72,4026,4369.0
Floor App Gen 3,19,2.05,2.05,0.15,45,6.75,1538,2200.0
LIT Collaboration One: Never Fear Truth,19,2.05,1900.0,0.02,19,0.38,2156,1.0
Nouns3D,6,0.65,0.38,0.01,24,0.24,1970,6370.0
N3D Deprecated,6,0.65,0.35,0.0,27,0.0,2363,7796.0
The Degenaissance,22,2.37,0.88,0.17,22,3.74,2302,2500.0
Beauty in the Hurting by Ryan Green,13,1.4,5.18,0.05,53,2.6500000000000004,579,1024.0
CROAKZ by McGill!,17,1.83,0.8,0.05,56,2.8000000000000003,3599,6996.0
Rapture by Thomas Lin Pedersen,21,2.26,3.4,0.19,34,6.46,583,1000.0
Flowers by RVig,31,3.34,1.59,0.06,98,5.88,3064,6158.0
IlluminatiNFT,32,3.45,1.43,0.3,116,34.8,3545,8128.0
Window to the Soul by Electralina,2,0.22,2.94,9.0,2,18.0,51,68.0
Autology by steganon,15,1.62,3.03,0.24,31,7.4399999999999995,641,1024.0
Genesis Gradients by Beaming,1,0.11,0.45,0.2,1,0.2,180,222.0
Skullx,7,0.75,0.7,0.01,70,0.7000000000000001,2556,10000.0
The Panels - Blocks,9,0.97,3.26,0.0,269,0.0,874,8257.0
Wave Schematics by luxpris,5,0.54,1.25,0.13,5,0.65,263,400.0
HIDDEN IN NOISE,14,1.51,3.91,0.22,40,8.8,580,1024.0
The Official Surreals,8,0.86,0.21,0.05,21,1.05,5029,10000.0
GAWDS,15,1.62,2.49,0.03,134,4.02,1572,5389.0
AnimightiesJigScene,8,0.86,9.6,0.01,17,0.17,980,177.0
Skullx: Aeons,3,0.32,0.15,0.08,3,0.24,735,2000.0
Mutant Ape Yacht Club,108,11.64,1.51,26.3,281,7390.3,12303,18593.0
Iconography V2,1,0.11,14.29,0.5,2,1.0,49,14.0
Skullx: Editions,3,0.32,150.0,0.08,3,0.24,257,2.0
Animonkeys,5,0.54,1.04,0.13,26,3.38,923,2500.0
Axie Infinity,11,1.19,0.05,0.0,155,0.0,45276,283781.0
fRiENDSiES,27,2.91,1.35,0.32,133,42.56,3797,9881.0
CyberBrokers,53,5.71,2.63,3.74,263,983.62,3694,9987.0
Riot Girls,17,1.83,3.75,0.29,25,7.249999999999999,498,666.0
WGMI Premium Membership,102,10.99,3.52,0.15,143,21.45,3757,4063.0
The Infinite Machine Movie Collection,10,1.08,0.6,0.1,25,2.5,1420,4165.0
Worldwide Webb Land,43,4.63,0.85,1.4,81,113.39999999999999,4757,9508.0
FriendsWithYou,17,1.83,850.0,0.6,17,10.2,844,2.0
Woodies Generative Characters,159,17.13,6.23,0.16,607,97.12,3876,9739.0
Rarible,142,15.3,0.48,0.0,1520,0.0,211720,314695.0
Tom Sachs: Rocket Factory - Mothership Tickets,31,3.34,650.0,0.14,39,5.460000000000001,1935,6.0
Bloot Comic,12,1.29,1.84,0.02,55,1.1,1193,2985.0
Tom Sachs: Rocket Factory - Rockets,21,2.26,5.75,4.2,38,159.6,417,661.0
Pixel Vault MintPass,78,8.41,5850.0,0.17,117,19.89,10092,2.0
PUNKS: Origin Stories,59,6.36,7.95,0.07,465,32.550000000000004,3485,5848.0
Indiscreet Units,1,0.11,0.38,0.06,1,0.06,151,266.0
PUNKS 2: TROPO Collector's Edition,18,1.94,2.8,0.34,21,7.140000000000001,706,749.0
Champions of Fuego,1,0.11,5.26,0.0,1,0.0,7,19.0
Turf Plots,20,2.16,2.04,0.18,103,18.54,2099,5041.0
harm.work,1,0.11,3.23,6.5,1,6.5,21,31.0
Elite Ape Entry Coins,86,9.27,8600.0,0.08,86,6.88,8591,1.0
Terraforms by Mathcastles,58,6.25,3.27,0.4,324,129.6,2194,9908.0
adidas Originals Into the Metaverse,115,12.39,11500.0,1.79,115,205.85,21586,1.0
Gazettes by Redlioneye Gazette,11,1.19,2.05,0.04,21,0.84,431,1024.0
Ode to Roy by artplusbrad,15,1.62,4.53,0.2,41,8.200000000000001,468,906.0
LeWitt Generator Generator by Mitchell F. Chan,13,1.4,3.87,0.44,29,12.76,428,750.0
Stipple Sunsets by Jake Rockland,16,1.72,6.39,0.6,23,13.799999999999999,241,360.0
The Opera by Luke Shannon,4,0.43,8.98,0.76,23,17.48,138,256.0
Patchwork Saguaros by Jake Rockland,4,0.43,6.94,4.9,5,24.5,55,72.0
Apparitions by Aaron Penne,28,3.02,3.33,0.89,50,44.5,732,1500.0
Frammenti by Stefano Contiero,18,1.94,5.77,1.8,32,57.6,366,555.0
Ringers by Dmitri Cherniak,19,2.05,5.9,40.0,59,2360.0,283,1000.0
Elevated Deconstructions by luxpris,9,0.97,9.5,27.69,19,526.11,103,200.0
Elementals by Michael Connolly,23,2.48,8.51,1.47,51,74.97,368,599.0
Cryptoblots by Daïm Aggott-Hönsch,19,2.05,2.03,0.26,39,10.14,802,1921.0
Construction Token by Jeff Davis,16,1.72,5.0,3.7,25,92.5,254,500.0
Genesis by DCA,15,1.62,5.08,2.89,26,75.14,281,512.0
Hieroglyphs by pxlq,26,2.8,5.2,0.1,52,5.2,580,1000.0
Paper Armada by Kjetil Golid,29,3.12,3.57,0.2,107,21.400000000000002,877,3000.0
Pathfinders by luxpris,11,1.19,3.8,0.2,38,7.6000000000000005,500,1000.0
Return by Aaron Penne,8,0.86,6.67,2.0,20,40.0,131,300.0
Rhythm by Jeff Davis,9,0.97,9.58,1.6,32,51.2,162,334.0
MetaHero Universe: United Planets,94,10.13,4254.55,0.11,468,51.48,12041,11.0
Dynamic Slices by pxlq,14,1.51,5.66,1.5,29,43.5,253,512.0
Moon In Motion,2,0.22,50.0,0.8,3,2.4000000000000004,37,6.0
Pixel Vault Founder's DAO,69,7.44,8.23,2.2,486,1069.2,2956,5902.0
Tom Sachs: Rocket Factory - Patches,34,3.66,0.64,0.01,39,0.39,5826,6083.0
Pulsar79,5,0.54,5.67,0.1,57,5.7,340,1005.0
Pulsquares by Arihz,5,0.54,2.96,0.88,14,12.32,172,473.0
Okazz's Generative Art NFT,3,0.32,15.0,1.0,6,6.0,17,40.0
Solvency by Ezra Miller,8,0.86,2.2,3.5,11,38.5,247,500.0
Framergence by Arihz,11,1.19,3.24,1.79,25,44.75,268,772.0
The ABSTRACT Store,7,0.75,40.38,0.09,21,1.89,150,52.0
Blockchain Art Institute,5,0.54,0.07,0.05,6,0.30000000000000004,755,8893.0
Folia,6,0.65,0.91,0.25,8,2.0,337,883.0
Neolastics,5,0.54,1.18,0.69,5,3.4499999999999997,202,422.0
Clovers Network,1,0.11,0.0,0.02,1,0.02,690,43740.0
KnownOrigin,74,7.97,0.49,0.01,311,3.11,11473,62928.0
Untitled Collection #267713868,1,0.11,100.0,0.0,2,0.0,1,2.0
VaynerSports Pass VSP,46,4.96,0.82,0.37,128,47.36,6685,15555.0
JorrBox by JorrParivar,1,0.11,100.0,0.1,1,0.1,203,1.0
The Subtle Art of Not Giving a Fuck x Mark Manson,22,2.37,4.78,0.06,53,3.1799999999999997,727,1109.0
JorrKey by JorrParivar,1,0.11,100.0,0.05,1,0.05,202,1.0
Bored Doodle Punk Club,33,3.56,4.08,0.01,102,1.02,940,2500.0
Elderly Ape Retirement Club,7,0.75,0.5,0.05,25,1.25,2309,5000.0
The Tiger Cub Club,10,1.08,3.29,0.0,45,0.0,501,1367.0
JorrParivar,1,0.11,0.64,0.05,8,0.4,237,1254.0
Like Nastya,1,0.11,0.01,0.01,1,0.01,1717,11259.0
Gutter Punks - WoWG,68,7.33,0.96,0.01,180,1.8,9368,18732.0
World of Women Galaxy,83,8.94,0.96,1.24,202,250.48,11088,20955.0
10KTF Gucci Grail,70,7.54,2.56,0.91,109,99.19,3047,4253.0
Light Beams by Jason Ting,6,0.65,6.0,6.2,9,55.800000000000004,88,150.0
Algobots by Stina Jones,18,1.94,6.0,1.4,30,42.0,299,500.0
Watercolor Dreams by NumbersInMotion,18,1.94,5.17,0.99,31,30.69,408,600.0
Aerial View by daLenz,16,1.72,2.6,0.4,26,10.4,657,1000.0
720 Minutes by Alexis André,21,2.26,5.0,1.85,36,66.60000000000001,459,720.0
The Humanoids,10,1.08,0.14,0.12,14,1.68,3863,10000.0
Trossets by Anna Carreras,21,2.26,3.7,0.45,37,16.650000000000002,647,1000.0
Geometry Runners by Rich Lord,14,1.51,1.9,1.03,19,19.57,687,1000.0
The Wanderers,34,3.66,0.62,0.12,55,6.6,4257,8887.0
World of Women,52,5.6,1.64,7.9,164,1295.6000000000001,5328,10000.0
Meebits,101,10.88,2.47,4.2,494,2074.8,6207,20000.0
CryptoArte,75,8.08,1.83,0.1,181,18.1,3503,9894.0
MURI by Haus,7,0.75,0.14,0.61,14,8.54,6350,10000.0
XOLO Keys,7,0.75,700.0,0.15,7,1.05,4339,1.0
Villagers of XOLO,3,0.32,0.18,0.09,24,2.16,4918,13299.0
ChipArt,96,10.34,30.14,0.03,211,6.33,333,700.0
Mythia: Origins,5,0.54,0.7,0.4,7,2.8000000000000003,606,1000.0
Sad Bots Genesis,2,0.22,0.19,0.02,6,0.12,1906,3090.0
Kishis Ninjas,1,0.11,0.06,0.05,1,0.05,362,1691.0
HYPEBEARSCLUB.OFFICIAL,2,0.22,0.03,0.09,3,0.27,4651,9999.0
The Beeings,9,0.97,0.26,0.02,26,0.52,5455,10000.0
Shields,13,1.4,0.8,0.09,40,3.5999999999999996,1559,5000.0
Killer GF,9,0.97,0.35,0.26,27,7.0200000000000005,4082,7777.0
MEV Army,31,3.34,0.82,0.06,82,4.92,3795,9999.0
Rave Pigs,4,0.43,0.2,0.01,13,0.13,2733,6657.0
FLUF World: Burrows,22,2.37,0.61,0.62,64,39.68,3473,10500.0
Doodle Apes Society (D.A.S),3,0.32,0.12,0.0,3,0.0,1189,2501.0
Doge Pound Christmas,4,0.43,0.14,0.01,6,0.06,2414,4186.0
A.N.I.M.O,17,1.83,1.04,0.1,104,10.4,3587,10000.0
Deez Christmas Nuts (Official),2,0.22,0.07,0.06,2,0.12,1231,2749.0
The Labyrinth NFT,2,0.22,0.3,0.02,3,0.06,780,993.0
My Pet Hooligan,11,1.19,0.3,1.15,27,31.049999999999997,4971,8888.0
NobiToadz,5,0.54,6.98,0.0,279,0.0,829,3998.0
Players Only (Official),2,0.22,0.09,0.0,4,0.0,1726,4456.0
Winter Apes NFT,1,0.11,0.14,0.01,2,0.02,506,1443.0
Emoji Keys,4,0.43,0.42,0.01,42,0.42,1384,10000.0
Legends of Wondermist,28,3.02,508.7,0.01,234,2.34,397,46.0
Whales.Game,3,0.32,0.03,0.0,7,0.0,3666,26513.0
The Vampire Game - Legacy,2,0.22,0.16,0.06,3,0.18,659,1822.0
JavaJelly,1,0.11,0.07,0.0,2,0.0,644,3075.0
Poolsuite - Executive Member,46,4.96,3.68,2.14,92,196.88000000000002,1927,2500.0
Sherbet NFTs,3,0.32,0.06,0.05,5,0.25,3725,7777.0
BaboonBet,11,1.19,0.99,0.0,99,0.0,2423,10000.0
Wolf Game - Genesis Land,41,4.42,1.78,0.24,356,85.44,5155,19972.0
Wolf Game - Farmer,31,3.34,2.12,0.56,249,139.44000000000003,3316,11738.0
JRNY CLUB OFFICIAL,10,1.08,0.16,1.1,16,17.6,6365,10000.0
Legend Maps: Founder Maps,9,0.97,0.26,0.14,15,2.1,1682,5757.0
Genetic Chain - Ikebana,2,0.22,0.16,0.01,2,0.02,1097,1213.0
Deera,1,0.11,1.0,0.26,1,0.26,75,100.0
Token Titties ( . Y . ),1,0.11,0.4,0.0,1,0.0,88,251.0
Stringify(door),4,0.43,0.12,0.0,9,0.0,3332,7500.0
Ninjalerts Lifetime License,9,0.97,900.0,0.19,9,1.71,1025,1.0
Game Disease,5,0.54,0.62,0.08,40,3.2,1873,6431.0
Awakened - MultiPass,2,0.22,0.06,0.05,3,0.15000000000000002,2055,4873.0
Monster Satoshibles,2,0.22,0.14,0.06,3,0.18,513,2186.0
TEGSNFT,1,0.11,0.16,0.0,3,0.0,682,1902.0
Women and Weapons,21,2.26,0.87,0.2,87,17.400000000000002,5765,10000.0
Genetic Chain - Founders Pass,6,0.65,0.59,0.12,6,0.72,570,1014.0
Zombie Penguins,1,0.11,0.02,0.0,1,0.0,933,5834.0
ShogunSamurais,2,0.22,0.05,0.01,4,0.04,2840,7470.0
EGS Founding Fathers (gen 1),1,0.11,0.28,0.04,1,0.04,205,356.0
Metaminds,2,0.22,0.19,0.0,3,0.0,580,1600.0
GaiaEliteClub,1,0.11,0.06,0.03,2,0.06,1387,3549.0
BarrelFi Genesis Vintage: Striped Pig Pixie Collection,2,0.22,2.65,0.111,3,0.333,43,113.0
At The Cusp,1,0.11,20.0,0.04,1,0.04,144,5.0
Deez Nuts (Official Nuts),3,0.32,0.08,0.28,8,2.24,2049,10000.0
Spiral Frequencies,11,1.19,0.41,0.06,26,1.56,3191,6315.0
Yolo Dice,4,0.43,0.14,0.01,5,0.05,986,3636.0
The Goobers,3,0.32,0.06,0.08,9,0.72,4690,14554.0
0xVampire Project,4,0.43,0.07,0.0,7,0.0,4411,9861.0
BLU Blox,9,0.97,0.19,0.01,19,0.19,3743,10000.0
Frogs In Disguise,2,0.22,0.05,0.0,5,0.0,3244,10005.0
Crypto Alien Punk v1,2,0.22,0.1,0.0,10,0.0,1208,10000.0
Space Dinos Club,1,0.11,0.01,0.01,1,0.01,3922,9521.0
DEMIGODS OF THE AKKI METAVERSE,1,0.11,1.61,2.0,1,2.0,44,62.0
Invisible Man NFT,1,0.11,0.06,0.0,2,0.0,1162,3500.0
Duckpics,1,0.11,0.99,0.0,1,0.0,34,101.0
Flowtys,9,0.97,0.21,0.04,21,0.84,3753,10000.0
Lysergic Labs Shroomz,2,0.22,0.06,0.01,5,0.05,3164,8590.0
Frontier Game,22,2.37,183.93,0.05,103,5.15,7151,56.0
CryptoCyberPunkz,1,0.11,0.43,0.02,2,0.04,152,466.0
Doge Pound Puppies,5,0.54,0.07,0.1,6,0.6000000000000001,4748,8293.0
AfroDroids By Owo,4,0.43,0.27,0.01,33,0.33,3648,12115.0
Mighty Manateez,8,0.86,0.38,0.0,38,0.0,2494,10000.0
FUR BRAWLS - Dark Bunnies,3,0.32,0.16,0.01,7,0.07,1740,4394.0
FUR BRAWLS - Light Bunnies,2,0.22,0.2,0.01,9,0.09,1720,4448.0
CyberPunkA12,3,0.32,0.36,0.0,12,0.0,826,3367.0
Party Bones,2,0.22,0.06,0.01,3,0.03,418,5440.0
Gauntlets,8,0.86,0.15,0.1,15,1.5,3724,10000.0
SpacePunksClub,3,0.32,0.03,0.08,3,0.24,4365,9995.0
Evaverse Turtle Troop,4,0.43,1.08,0.05,54,2.7,1728,5000.0
Cybermon Official,2,0.22,0.32,0.02,3,0.06,339,927.0
Evaverse,8,0.86,0.16,0.24,16,3.84,2988,10000.0
The Doge Pound,8,0.86,0.1,0.62,10,6.2,5533,10000.0
Sewer Rat Social Club,5,0.54,0.26,0.02,23,0.46,2365,8888.0
Relentless LifeMap,4,0.43,0.26,4.94,7,34.580000000000005,2100,2707.0
Forest Spirits  by  ZENFT,94,10.13,5.72,0.09,508,45.72,2837,8888.0
ProofGrails DAO,6,0.65,600.0,0.0,6,0.0,18,1.0
BEANZ Official,60,6.47,1.13,5.0,225,1125.0,6557,19928.0
Ben Mezrich Project - Bitcoin and Billionaires Collection,19,2.05,1.43,0.05,26,1.3,1702,1819.0
Heart Chakra - Trey Ratcliff x Tina Guo,9,0.97,65.0,1.0,13,13.0,16,20.0
VeeCon  Tickets,67,7.22,1.2,0.6,123,73.8,5590,10248.0
Gutter Punks Flyer - Azuki,52,5.6,1.05,0.03,105,3.15,5623,9999.0
HEALING CODES,6,0.65,0.61,0.03,6,0.18,605,985.0
Identities by Sketcha,12,1.29,3.23,0.04,26,1.04,485,806.0
Sneaky Vampiress Syndicate,5,0.54,0.11,0.07,14,0.9800000000000001,5483,12343.0
CC Time Travel,3,0.32,300.0,0.06,3,0.18,1961,1.0
REFLECTIONS NFT by Rich Simmons,4,0.43,0.18,0.04,6,0.24,1820,3333.0
Non-Fungible People by Daz 3D,6,0.65,0.09,0.06,8,0.48,3295,8888.0
VeeDao,1,0.11,0.21,0.04,5,0.2,805,2402.0
Adult Fantasy: Season 1,3,0.32,0.27,0.05,6,0.30000000000000004,405,2200.0
Metakrew,19,2.05,0.56,0.06,41,2.46,3117,7335.0
PlebPunks,4,0.43,0.3,0.01,8,0.08,1279,2628.0
INFLUENCERZ,3,0.32,2.19,0.04,3,0.12,108,137.0
Impact Theory Founder's Key,20,2.16,0.99,0.12,149,17.88,5068,15089.0
Gods Of Rock,6,0.65,0.32,0.02,22,0.44,2263,6904.0
10KTF Stockroom,52,5.6,942.86,0.09,132,11.879999999999999,3241,14.0
Dirtybird Flight Club,7,0.75,0.13,0.01,12,0.12,3571,9090.0
GRILLZ GANG TICKET,26,2.8,0.15,0.01,27,0.27,17758,18238.0
GRILLZ GANG,10,1.08,0.28,0.04,15,0.6,2755,5362.0
Boss Beauties,23,2.48,0.56,1.04,56,58.24,5572,10000.0
Evolved Apes Inc,1,0.11,0.05,0.02,5,0.1,4185,9981.0
888 Inner Circle The Drops,44,4.74,2.36,0.0,171,0.0,7075,7233.0
Crypto.Chicks,11,1.19,0.21,0.3,21,6.3,4489,9999.0
10KTF,48,5.17,2.47,0.5,454,227.0,4741,18377.0
Tools of Rock: VIP Pass,5,0.54,0.36,0.17,9,1.53,1341,2500.0
The Drops - Multiple Editions,3,0.32,9.23,0.02,6,0.12,615,65.0
NiftyStonks,24,2.59,9.31,0.1,31,3.1,303,333.0
Hello fam! NFT Winery,3,0.32,2.08,0.03,16,0.48,213,769.0
Alpha Access,8,0.86,450.0,0.03,9,0.27,940,2.0
Tools Of Rock,14,1.51,0.35,0.03,26,0.78,2232,7370.0
Hammered Dragon Winery,1,0.11,0.32,0.01,4,0.04,407,1267.0
Political Punks,3,0.32,0.81,0.09,4,0.36,271,496.0
Untamed Elephants,10,1.08,0.44,0.02,33,0.66,3134,7500.0
The Bullish Bears,1,0.11,0.01,0.05,1,0.05,114,10000.0
Slacker Duck Pond,4,0.43,0.48,0.02,29,0.58,2204,6000.0
Bonsai by ZENFT,83,8.94,13.79,0.13,1226,159.38,2884,8888.0
