name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
CubeX      Official,11,1.18,0.67,18.8,11,206.8,1431,1640.0
ThePuffWorld Col.,6,0.64,0.6,0.09,6,0.54,1003,1000.0
CryptoUnicorn Toy,19,2.03,0.0,0.0,0,0.0,1998,999.0
CryptoUnicorn Ty,24,2.57,0.0,0.0,0,0.0,1000,1000.0
CryptoUnicorn Re,8,0.86,0.0,0.0,0,0.0,992,991.0
Bored     Ape      Timeless      Club,13,1.39,0.73,15.6,14,218.4,1653,1921.0
KAHIRU       Official,10,1.07,0.89,15.0,10,150.0,947,1118.0
Victorias           Secret,15,1.61,0.81,16.6,16,265.6,1682,1982.0
Crypto Bull Win,8,0.86,0.0,0.0,0,0.0,977,976.0
CRAYON CLUB X BAYC CLUB,76,8.14,1.72,0.04,172,6.88,5764,10001.0
Trait Sniper Lifetime Access,14,1.5,0.48,0.33,16,5.28,2685,3333.0
Dolce Gabbana,9,0.96,1.01,0.0,9,0.0,781,895.0
BEANZ   OfficiaI,9,0.96,0.84,0.0,9,0.0,938,1074.0
Colorpencil Club X BAYC,86,9.21,2.61,40.0,230,9200.0,5722,8810.0
Genesis Apiens OfficiaI,9,0.96,0.83,0.0,9,0.0,955,1089.0
The Squids     OfficiaI,9,0.96,0.77,0.0,9,0.0,1024,1164.0
RTFKT X NIKE MONOLITH,48,5.14,4800.0,2.8,48,134.39999999999998,5746,1.0
RTFKT x Nike Dunk Genesis CRYPTOKICKS,47,5.03,2.17,1.14,239,272.46,5789,10998.0
Possessed  official,9,0.96,0.69,23.8,9,214.20000000000002,1142,1297.0
BAYC X PUNKS BABY,8,0.86,0.82,20.0,8,160.0,853,975.0
Louis Vuitton Apes,8,0.86,0.0,30.2,0,0.0,1099,1248.0
Beanzzuki  X  BAYC,8,0.86,0.78,22.0,9,198.0,1016,1153.0
Louis Vuitton  Apes,8,0.86,0.0,31.0,0,0.0,799,899.0
0xOG Pass by 0xStudio,7,0.75,2.24,2.89,9,26.01,344,402.0
Louis Vuitton  Ape,8,0.86,1.18,22.0,9,198.0,689,760.0
Louis Vuitton Ape meta,7,0.75,1.14,0.0,8,0.0,638,704.0
Nifty Tailor Genesis MintPass,5,0.54,0.98,0.06,20,1.2,508,2035.0
National Beer Day 2022 - Resonate,61,6.53,6100.0,0.0,61,0.0,8835,1.0
BEANZ Official,45,4.82,0.68,1.61,136,218.96,7430,19950.0
COLORPENCIL X AZUKI,81,8.67,3.07,1.0,215,215.0,4771,6992.0
Bored Ape Timeless Club,7,0.75,0.86,15.0,8,120.0,802,931.0
Ape Drops 02 : American Ape Legendary Moments,3,0.32,225.0,0.07,9,0.6300000000000001,155,4.0
GNSS Art by MGXS,13,1.39,0.34,0.44,32,14.08,3537,9314.0
Gutter Punks Flyer - BAYC,94,10.06,2.47,0.12,247,29.64,6370,9995.0
Bored Weird Vitalik Club,3,0.32,0.35,0.01,3,0.03,334,847.0
RTFKT PodX,68,7.28,6800.0,0.44,68,29.92,9188,1.0
Karafuru,7,0.75,0.25,2.18,14,30.520000000000003,3662,5554.0
Lives of Asuna,11,1.18,0.35,0.14,35,4.9,5314,10000.0
Azuki,33,3.53,1.0,13.35,100,1335.0,5177,10000.0
Rug Radio - Genesis NFT,56,6.0,0.95,0.21,189,39.69,9763,20000.0
adidas Originals Into the Metaverse,85,9.1,4550.0,1.33,91,121.03,21104,2.0
Rollbit VIP Passes,7,0.75,0.64,0.1,7,0.7000000000000001,707,1100.0
CLONE X - X TAKASHI MURAKAMI,79,8.46,1.53,13.2,295,3894.0,9259,19283.0
Private Jet Pyjama Party,1,0.11,0.04,0.37,2,0.74,2278,5267.0
HovercarsAnimetas,9,0.96,2.35,0.02,144,2.88,2105,6129.0
RTFKT - Mintdisc 1,11,1.18,2.13,0.35,16,5.6,587,751.0
META_GOATS,6,0.64,1.54,0.02,7,0.14,290,456.0
AnimeTracks,8,0.86,4.06,0.01,131,1.31,1287,3229.0
The Sandbox ASSETS,50,5.35,5.88,0.01,159,1.59,37747,2706.0
CityDAO Citizenship,13,1.39,433.33,0.77,13,10.01,4932,3.0
Refractions,97,10.39,950.0,0.03,114,3.42,6446,12.0
oncyber labs,80,8.57,1820.0,0.4,91,36.4,9318,5.0
Mutant Ape Yacht Club,111,11.88,1.37,20.2,262,5292.4,12418,19137.0
Robotos Originals,8,0.86,48.0,0.01,12,0.12,6486,25.0
Robotos,40,4.28,1.0,0.31,100,31.0,5638,9998.0
Animetas,19,2.03,1.88,0.08,190,15.200000000000001,4070,10101.0
Animonkeys,5,0.54,1.0,0.1,25,2.5,908,2500.0
Bored Ape Kennel Club,61,6.53,2.07,7.5,199,1492.5,5504,9602.0
Honorary Ape Kids Club,3,0.32,2.27,0.45,5,2.25,162,220.0
Bored Ape Yacht Club,95,10.17,2.52,100.9,252,25426.800000000003,6269,9999.0
Mirandus,5,0.54,3.3,0.03,6,0.18,15605,182.0
Rarible,121,12.96,0.38,0.0,1186,0.0,213697,315974.0
CryptoPunks,67,7.17,1.43,53.9,143,7707.7,3451,9999.0
Legend Pro,20,2.14,2.0,0.0,20,0.0,1002,1001.0
GutterCatGang Tide,10,1.07,1.12,0.0,10,0.0,892,892.0
Murakami.Flowers Official,27,2.89,0.59,4.3,44,189.2,4599,7410.0
Moonbirds V2,181,19.38,71.83,0.0,181,0.0,252,252.0
OOF Collective Official,11,1.18,0.79,0.02,14,0.28,971,1765.0
Shinsei Galverse,10,1.07,0.42,0.16,37,5.92,4014,8888.0
the Universe Machine by Joshua Davis / PrayStation,26,2.78,11.64,0.19,32,6.08,214,275.0
Kevin Yacht Club Official,1,0.11,0.18,0.01,1,0.01,207,555.0
hausphases by Haus,6,0.64,0.14,0.93,11,10.23,5208,7777.0
Anti Collective,2,0.21,200.0,0.29,2,0.58,348,1.0
Surreal Mint-Pass,2,0.21,50.0,0.07,4,0.28,225,8.0
CityLights by EEPMON,11,1.18,4.14,0.09,50,4.5,550,1208.0
Kohi Kintsugi,11,1.18,2.29,0.14,23,3.22,541,1003.0
Zombie Zoo,2,0.21,0.78,0.4,2,0.8,178,258.0
Isosceles,5,0.54,33.33,0.89,7,6.23,18,21.0
White EtherHead,34,3.64,3.36,0.0,34,0.0,2002,1011.0
Aether Angel,14,1.5,1.4,0.0,14,0.0,1004,1001.0
REMINT - Prime Owner,2,0.21,200.0,0.0,2,0.0,21,1.0
Quantum Key,226,24.2,27.46,2.99,285,852.1500000000001,852,1038.0
JBCollectibles Collection,1,0.11,100.0,0.0,1,0.0,1,1.0
ATEM Membership Cards,14,1.5,2.92,0.43,364,156.52,1986,12455.0
Leizhu's Collection,6,0.64,12.0,0.0,6,0.0,19,50.0
Moonbird mfers,1,0.11,11.11,0.0,1,0.0,8,9.0
Badiucao - Beijing Olympics 2022,1,0.11,2.87,0.1,5,0.5,90,174.0
artisticlounge,3,0.32,27.27,0.1,3,0.30000000000000004,6,11.0
ASM AIFA All-Stars,22,2.36,1.36,0.11,494,54.34,3494,36313.0
ASM Brains,28,3.0,2.78,1.4,252,352.79999999999995,2819,9079.0
Quantum Unlocked,177,18.95,25.19,0.09,237,21.33,687,941.0
what is real? Editions,57,6.1,1966.67,1.75,59,103.25,152,3.0
MAX PAIN AND FRENS BY XCOPY,85,9.1,1.93,0.85,144,122.39999999999999,4099,7469.0
Ode to Roy by artplusbrad,14,1.5,4.3,0.15,39,5.85,462,906.0
Event Horizon Sunset (Series C) by Jake Brukhman,10,1.07,2.2,0.12,11,1.3199999999999998,339,500.0
Synapses by Chaosconstruct,14,1.5,3.29,0.99,23,22.77,475,700.0
Dreams by Joshua Bagley,14,1.5,7.14,0.9,50,45.0,385,700.0
Open Editions by Stefano Contiero,5,0.54,24.14,1.0,7,7.0,25,29.0
Bonsai by ZENFT,68,7.28,13.42,0.06,1193,71.58,2898,8888.0
Gener8tive Mutations,4,0.43,2.33,0.2,6,1.2000000000000002,159,257.0
XCOPYPUNKS,2,0.21,3.0,0.77,3,2.31,54,100.0
MoonCats,32,3.43,0.35,0.34,67,22.78,5799,19092.0
MERCURY EDITION 1/1 #01-90 2D,1,0.11,1.11,0.12,1,0.12,48,90.0
SOLOS,13,1.39,2.33,0.04,64,2.56,964,2746.0
Foundation (FND),79,8.46,0.57,0.02,664,13.280000000000001,17716,116031.0
Gener8tive K-Compositions,7,0.75,8.4,3.1,21,65.10000000000001,129,250.0
Gutter Punks - Chromie Squiggles,204,21.84,7.7,0.0,204,0.0,2649,2649.0
Elegant Legend,16,1.71,1.6,0.0,16,0.0,1002,1001.0
RELI3F UKR: Drop 2,18,1.93,92.0,0.0,23,0.0,971,25.0
Grifters by XCOPY,40,4.28,8.56,8.99,57,512.4300000000001,524,666.0
TOKYO PUNKS by SABET,38,4.07,1.63,0.06,79,4.74,2801,4850.0
Screens by Thomas Lin Pedersen,23,2.46,4.8,1.9,48,91.19999999999999,509,1000.0
Terraforms by Mathcastles,54,5.78,3.47,0.35,344,120.39999999999999,2231,9909.0
JPG PEOPLE by Debbie Tea,20,2.14,1.26,0.01,112,1.12,4555,8888.0
Gazers by Matt Kane,26,2.78,4.3,8.0,43,344.0,408,1000.0
haute:kaleidr,10,1.07,17.0,0.47,17,7.989999999999999,60,100.0
Places DAO,5,0.54,3.87,0.03,23,0.69,177,594.0
Gallery Premium Membership Cards,54,5.78,787.5,0.18,63,11.34,1080,8.0
Chromie Squiggle by Snowfro,204,21.84,6.54,5.8,629,3648.2,2645,9615.0
Woodies Generative Characters,129,13.81,6.45,0.2,628,125.60000000000001,3855,9739.0
Kolectiv,12,1.28,2.23,0.05,20,1.0,450,896.0
Superchief Season 1 Starter Pack,9,0.96,2.71,0.1,10,1.0,391,369.0
GeoCuts,3,0.32,10.0,0.99,5,4.95,27,50.0
XCOPY,40,4.28,4.66,3.53,66,232.98,618,1415.0
KnownOrigin,79,8.46,0.48,0.01,334,3.34,12384,70075.0
Legend Bit,13,1.39,1.3,0.0,13,0.0,1003,1001.0
Mutant Cartel Merch,5,0.54,0.97,0.01,21,0.21,625,2168.0
Anticyclone by William Mapan,35,3.75,8.38,3.09,67,207.03,383,800.0
lou plops,4,0.43,400.0,0.0,4,0.0,171,1.0
BEANZ - Official,7,0.75,1.33,8.6,7,60.199999999999996,468,528.0
Dolce  Gabbana,7,0.75,1.06,12.0,7,84.0,593,661.0
lnvisibIe     Friends     3d,8,0.86,1.47,21.0,8,168.0,479,543.0
Louis   Vuitton   Ape nft,5,0.54,0.0,31.0,0,0.0,156,167.0
Beanzuki       X        BAYC,7,0.75,0.0,21.0,0,0.0,505,572.0
Louis    Vuitton      Ape        Official,5,0.54,0.0,21.0,0,0.0,222,259.0
Beanzuki   X    BAYC,3,0.32,1.97,21.0,3,63.0,125,152.0
Beanzuki   X  BAYC,6,0.64,1.72,26.0,6,156.0,312,348.0
Beanzzuki X  BAYC,7,0.75,1.13,15.0,7,105.0,552,622.0
Beanzzuki X BAYC,7,0.75,0.0,31.0,0,0.0,408,447.0
Louis Vuitton Ape nft Official,6,0.64,2.01,32.0,6,192.0,268,299.0
Beanzzuki X BAYC,7,0.75,1.41,28.0,7,196.0,452,496.0
Louis Vuitton Ape Official,7,0.75,0.0,21.0,0,0.0,444,505.0
AZUKl X BAYC Official,6,0.64,0.0,21.0,0,0.0,348,397.0
Beanzzukl X BAYC,2,0.21,0.0,0.0,0,0.0,131,174.0
Louiis Vuitton Ape,6,0.64,0.0,21.0,0,0.0,3,5.0
Louis Vuitton Ape Official,4,0.43,1.81,0.0,4,0.0,207,221.0
Beanz Apezuki Official,4,0.43,0.0,32.0,0,0.0,157,170.0
Louis Vuitton Ape Official,6,0.64,0.0,32.0,0,0.0,242,280.0
Beanzuki X BAYC nft Official,4,0.43,0.0,35.0,0,0.0,152,177.0
dshdfhdfj,5,0.54,1.49,32.0,5,160.0,296,335.0
Beanzuki X BAYC,5,0.54,0.0,28.0,0,0.0,298,337.0
Louis Vuitton X BAYC NFT Official,5,0.54,1.24,38.0,5,190.0,360,403.0
Elfiverse NFT Collection,2,0.21,0.04,0.05,2,0.1,3970,4904.0
Louis Vuitton X BAYC official,6,0.64,0.0,35.0,0,0.0,535,599.0
CubeX NFT Official,6,0.64,1.11,26.1,6,156.60000000000002,489,539.0
Beanz X BAYC,5,0.54,1.21,20.0,5,100.0,354,412.0
DEZUKl OFFICIAL,6,0.64,1.16,27.8,6,166.8,458,517.0
Louis Vuitton Ape,5,0.54,1.52,35.0,5,175.0,296,328.0
Louis Vuitton Ape Club,4,0.43,0.0,50.0,0,0.0,266,316.0
Krom Invite,1,0.11,0.93,0.0,1,0.0,106,107.0
SUPERPLASTIC: SUPERGUCCI,4,0.43,3.6,3.3,18,59.4,355,500.0
Mobland Genesis SYNR Pass,3,0.32,0.71,1.2,3,3.5999999999999996,364,424.0
Worldwide Webb Land,37,3.96,0.92,0.85,87,73.95,4650,9508.0
Poolsuite - Pool Member,5,0.54,3.2,3.39,8,27.12,235,250.0
Non-Fungible Fungi Generative,3,0.32,0.04,0.09,4,0.36,3406,9612.0
Punk Buddha,1,0.11,0.5,0.08,1,0.08,15,200.0
Fidenza by Tyler Hobbs,30,3.21,6.31,77.0,63,4851.0,523,999.0
Non-Fungible Fungi Genesis,1,0.11,10.0,2.49,10,24.900000000000002,68,100.0
Zapper - Season 2 Edition,9,0.96,50.0,0.0,15,0.0,80979,30.0
cLoot (for Chinese Adventurers),12,1.28,0.57,0.03,14,0.42,1201,2454.0
Foes (against Adventurers),3,0.32,0.57,0.03,12,0.36,596,2109.0
Characters  (for Adventurers),9,0.96,0.26,0.0,19,0.0,2497,7249.0
Ability Score,10,1.07,0.35,0.01,21,0.21,1837,5991.0
Abstract Loot,12,1.28,0.38,0.0042,30,0.126,2877,8000.0
Into the Cryptoverse NFTs,1,0.11,7.14,0.09,1,0.09,694,14.0
[deprecated] genwatch v1,2,0.21,24.04,0.1,25,2.5,55,104.0
Yearn Finance,3,0.32,0.22,0.01,30,0.3,9958,13368.0
Zapper - Season 1 Edition,13,1.39,740.0,0.01,37,0.37,56632,5.0
Parallel Alpha,37,3.96,108.68,0.0,576,0.0,45361,530.0
MethodNFT,1,0.11,0.02,0.0,1,0.0,1767,5111.0
VISOR V3,2,0.21,0.04,0.06,3,0.18,6310,7773.0
Inspirals by Radix,19,2.03,2.8,0.36,28,10.08,656,1000.0
Apocalypse Art - Editions & Insights,2,0.21,8.11,0.25,3,0.75,100,37.0
Unencrypted Punks,4,0.43,0.77,0.1,5,0.5,121,650.0
Killer Acid,3,0.32,1.25,1.2,4,4.8,113,319.0
Josie,4,0.43,3.32,7.75,12,93.0,171,361.0
adreamwithinadream,1,0.11,1.02,0.25,1,0.25,68,98.0
Ash Chapter One: Carbon,10,1.07,1.74,1.89,13,24.57,636,748.0
thr33zi3s,1,0.11,1.0,2.99,1,2.99,75,100.0
Fake Internet Money by Steve Pikelny,9,0.96,1.5,0.2,15,3.0,523,1000.0
Calendart by steen & n-e-o,4,0.43,4.66,0.18,17,3.06,237,365.0
Token Hash,2,0.21,0.2,0.01,2,0.02,384,1000.0
postcards from paradise,6,0.64,1.18,0.25,8,2.0,590,676.0
888 Inner Circle The Drops,27,2.89,1.56,0.01,113,1.1300000000000001,7085,7233.0
888 inner circle,21,2.25,2100.0,0.2,21,4.2,2340,1.0
PrimiLife by wuwa,4,0.43,0.39,0.02,4,0.08,604,1024.0
Brotchain,11,1.18,5.12,0.84,26,21.84,330,508.0
ACK EDITIONS,4,0.43,58.33,1.0,7,7.0,100,12.0
Crazy Crows Chess Club,5,0.54,0.17,0.0,14,0.0,1970,8193.0
GRILLZ GANG OG BADGE,2,0.21,0.36,0.12,2,0.24,413,555.0
Tom Sachs: Rocket Factory - Patches,26,2.78,0.48,0.02,29,0.58,5826,6083.0
Proof of Work V1,2,0.21,10.81,1.75,4,7.0,19,37.0
CryptoArte,63,6.75,1.55,0.08,153,12.24,3504,9894.0
Shop Pass by Scab Shop,123,13.17,9.12,0.05,228,11.4,1326,2500.0
"OnChainChain by Rizzle, Sebi, Miguelgarest",4,0.43,0.2,0.03,4,0.12,665,2000.0
A Modern Violet NFT,10,1.07,15.84,0.19,16,3.04,79,101.0
Creature Journey Artifacts,15,1.61,0.82,0.01,25,0.25,1928,3065.0
Exhibition: 3291 by cryptobauhaus,5,0.54,1.75,0.11,7,0.77,245,400.0
The Aquatica Collection,48,5.14,30.16,0.09,92,8.28,173,305.0
GEMMA BY TRISTAN EATON,22,2.36,1.13,0.12,52,6.24,2694,4611.0
Time Squared by steen x n-e-o,24,2.57,17.92,0.07,38,2.66,158,212.0
Flamingo Flutter,65,6.96,7.77,0.11,126,13.86,857,1622.0
