name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Sunbirds - Free Mint,664,71.09,26.54,0.0,1725,0.0,4398,6499.0
towe FlyFrogs,71,7.6,71.0,0.0,71,0.0,1002,100.0
Moonbirds,811,86.83,23.41,24.0,2341,56184.0,6489,10000.0
First Day Out by DrifterShoots,47,5.03,0.71,0.06,74,4.4399999999999995,6677,10351.0
in2oblivion,1,0.11,25.0,0.0,1,0.0,2,4.0
Dead Ringers: Edition by Dmitri Cherniak,196,20.99,19600.0,0.02,196,3.92,19712,1.0
Emotes by Heart You,373,39.94,34.54,0.68,495,336.6,1099,1433.0
PAPER DOLLS V2,1,0.11,9.09,5.0,1,5.0,9,11.0
LeWitt Generator Generator by Mitchell F. Chan,10,1.07,3.6,0.85,27,22.95,425,750.0
Octo Garden by Rich Lord,6,0.64,5.11,0.53,17,9.01,240,333.0
PROOF Collective,934,100.0,100.0,89.5,1000,89500.0,934,1000.0
Bent by ippsketch,26,2.78,3.91,0.67,40,26.8,561,1023.0
Dive by Rafaël Rozendaal,5,0.54,2.1,0.29,7,2.03,193,333.0
Alien Clock by Shvembldr,12,1.28,3.87,2.29,14,32.06,146,362.0
ONY by Shvembldr,1,0.11,2.0,0.9,1,0.9,41,50.0
Pop Wonder Editions,9,0.96,53.12,0.23,17,3.91,640,32.0
NFTBoxes,41,4.39,2.17,0.01,957,9.57,4700,44118.0
Legend Black,22,2.36,2.2,0.0,22,0.0,1003,1001.0
FlyFrogs Reta,134,14.35,0.0,0.0,0,0.0,1002,100.0
SMOWL,4,0.43,0.81,0.08,34,2.72,1363,4201.0
Wandernauts,19,2.03,0.42,0.02,36,0.72,3034,8535.0
Elispri x Editions,1,0.11,10.0,0.15,1,0.15,83,10.0
White Rabbit Producer Pass,5,0.54,500.0,0.13,5,0.65,1591,1.0
RELI3F UKR,30,3.21,275.68,0.0,102,0.0,4034,37.0
mfer charity,5,0.54,500.0,0.01,5,0.05,378,1.0
Alpha Elementary,1,0.11,0.13,0.09,4,0.36,983,3000.0
OGs by JakNFT x Kotegawa,5,0.54,1.9,0.2,7,1.4000000000000001,233,369.0
Celestials ETH,3,0.32,0.17,0.01,7,0.07,1688,4049.0
Censored*,37,3.96,0.12,0.0,37,0.0,29766,29766.0
Global Citizen Club,4,0.43,0.05,0.02,4,0.08,3558,8888.0
Pop Art Cats by Matt Chessco,3,0.32,0.08,0.08,8,0.64,4619,10000.0
Legends of Metaterra by hideo,2,0.21,0.49,0.08,5,0.4,464,1024.0
Gallery General Membership Cards,75,8.03,7500.0,0.03,75,2.25,4736,1.0
Rubber Duckz,100,10.71,10.55,0.4,211,84.4,891,2000.0
1337 Council,4,0.43,0.75,0.03,10,0.3,659,1337.0
Metaverse ID (by MetaFabric),3,0.32,0.77,0.09,12,1.08,752,1566.0
Spritely - Genesis Collection,4,0.43,0.32,0.01,19,0.19,2065,6000.0
Bored Doodle Punk Club,15,1.61,2.52,0.0,63,0.0,941,2500.0
Loot: Explorers,12,1.28,0.47,0.02,38,0.76,2386,8003.0
Poolboys Metatourism,3,0.32,0.25,0.0,11,0.0,819,4444.0
Poolsuite - Executive Member,59,6.32,4.92,1.65,123,202.95,1922,2500.0
Dead Avatars,3,0.32,0.49,0.04,22,0.88,1300,4517.0
Omikrons,1,0.11,0.67,0.05,1,0.05,74,150.0
Philosophical Foxes,7,0.75,0.71,0.14,10,1.4000000000000001,703,1411.0
Wassies by Wassies,13,1.39,0.41,0.59,39,23.009999999999998,2597,9546.0
Lonely Frog Lambo Club,12,1.28,0.29,0.01,29,0.29,3563,10000.0
The Wanderers,29,3.1,0.52,0.1,46,4.6000000000000005,4178,8887.0
ENS: Ethereum Name Service,359,38.44,0.09,0.00389,988,3.84332,385518,1114780.0
Loyal EtherHead,21,2.25,2.1,0.0,21,0.0,1002,1001.0
Layers by Vhils,52,5.57,4.13,0.14,119,16.66,1061,2884.0
Tears - Layers by Vhils,51,5.46,5100.0,0.2,51,10.200000000000001,1018,1.0
Gutter Punks - ENS,55,5.89,0.55,0.01,55,0.55,9990,10000.0
The Squirrel Gang V2,71,7.6,71.0,0.26,71,18.46,202,100.0
PREMINT Collector Pass - OFFICIAL,304,32.55,4.35,1.37,435,595.95,8089,10000.0
Gutter Punks Flyer - Meebits,83,8.89,2.22,0.0,443,0.0,6124,19999.0
Homage by Rafaël Rozendaal,3,0.32,4.55,0.5,5,2.5,70,110.0
Thing Lab,14,1.5,380.0,0.0,19,0.0,4538,5.0
Grails by PROOF Collective,414,44.33,59.46,1.59,616,979.44,641,1036.0
Huxlxy,1,0.11,1.07,0.02,20,0.4,298,1862.0
Queens+Kings Traits,28,3.0,1.54,0.02,283,5.66,673,18329.0
Queens+Kings,226,24.2,4.96,0.16,347,55.52,2436,7002.0
81 Horizons,1,0.11,1.23,0.81,1,0.81,49,81.0
Flyfish Club,14,1.5,0.69,3.0,21,63.0,1323,3035.0
Thingdoms,18,1.93,0.34,0.08,34,2.72,4604,10000.0
Deathbats Club,11,1.18,0.18,0.06,18,1.08,4943,10000.0
Nucleus by Hjalmar Åström,7,0.75,2.15,0.09,11,0.99,337,512.0
Chill Ape Club,1,0.11,0.05,0.0,1,0.0,1005,2203.0
Ornament by Jan Robert Leegte,4,0.43,5.86,0.34,15,5.1000000000000005,164,256.0
CryptoFreaks,3,0.32,3.21,0.09,8,0.72,159,249.0
CryptoMutts,9,0.96,0.83,0.02,83,1.6600000000000001,2232,10000.0
Lazy Monsters Space Club,1,0.11,0.2,0.07,2,0.14,209,1000.0
The CAPTCHAs,18,1.93,1.06,0.0,41,0.0,1610,3880.0
MOONDOGS ODYSSEY,5,0.54,0.12,0.02,6,0.12,1940,5000.0
Meebits,93,9.96,2.12,4.74,424,2009.76,6538,20000.0
Genbit Bunnies,2,0.21,0.71,0.01,10,0.1,419,1415.0
Gameboy Series V2,1,0.11,5.0,0.02,5,0.1,62,100.0
Crypto Cove,1,0.11,0.99,0.01,3,0.03,117,303.0
Roundies,1,0.11,3.7,0.02,4,0.08,49,108.0
The Starcatchers,8,0.86,0.8,0.0,8,0.0,1001,1000.0
SPACE+ - Launch Pass,28,3.0,2800.0,0.19,28,5.32,468,1.0
Bulls on Block Official,4,0.43,0.4,0.2,4,0.8,1003,1000.0
Otherdeed for Otherside,187,20.02,0.9,2.91,879,2557.8900000000003,34393,98137.0
DROIDzWORLD-OFFICIAL,3,0.32,1.21,0.01,6,0.06,203,497.0
Stoned Punks by Gutter Punks,1,0.11,1.0,0.01,10,0.1,372,1000.0
CREYZIES,45,4.82,1.3,0.09,130,11.7,5189,9963.0
RickhouseDAO,109,11.67,10900.0,0.2,109,21.8,742,1.0
VeeFriends Series 2,117,12.53,0.78,0.62,412,255.44,22993,52801.0
Fragments By James Jean,122,13.06,3.87,0.49,271,132.79,2931,7000.0
Gutter Punks - WoWG,56,6.0,0.82,0.01,154,1.54,9364,18732.0
World of Women Galaxy,70,7.49,0.8,0.74,171,126.53999999999999,11245,21254.0
MFN Gutter Punks,40,4.28,1.07,0.0,161,0.0,6310,15021.0
Gutter Punks NFT,3,0.32,0.22,0.04,20,0.8,2401,9202.0
ChipArt,62,6.64,18.43,0.05,129,6.45,325,700.0
Year of the Woman,37,3.96,1.78,0.02,112,2.24,2517,6287.0
Elemental by Fang Lijun,78,8.35,4.4,3.2,89,284.8,1196,2022.0
Confecta by Nick Kuder,11,1.18,13.0,0.9,13,11.700000000000001,78,100.0
The Kiss Precise,79,8.46,14.85,0.22,138,30.36,534,929.0
- TronWars -,5,0.54,0.07,0.03,6,0.18,4591,8888.0
Monster Ape Club | MAC,4,0.43,0.08,0.07,6,0.42000000000000004,4008,7998.0
mfers,52,5.57,1.53,1.8,153,275.40000000000003,5497,10021.0
the pixels inc,2,0.21,0.1,0.03,5,0.15,1814,5062.0
Light Cult Crypto Club,4,0.43,0.18,0.03,15,0.44999999999999996,1552,8537.0
Blockchain Adventures Of Bella The Blue Bot,4,0.43,0.32,0.04,10,0.4,1486,3150.0
Bufficorn Buidl Brigade,12,1.28,0.13,0.06,13,0.78,4167,10000.0
Smilesssvrs ::),13,1.39,0.25,0.41,22,9.02,4429,8747.0
Wall St Bulls,2,0.21,0.02,0.12,2,0.24,3626,10000.0
Sers,1,0.11,0.08,0.05,1,0.05,586,1241.0
Wonky Stonks,4,0.43,0.07,0.04,6,0.24,4532,8736.0
GRILLZ GANG TICKET,18,1.93,0.1,0.0,19,0.0,17748,18238.0
GRILLZ GANG,6,0.64,0.21,0.04,11,0.44,2711,5362.0
The Heart Project,13,1.39,0.25,0.1,25,2.5,5792,9884.0
Dapper Dinos Karma Collective,2,0.21,0.36,0.5,2,1.0,399,555.0
Dapper Dinos NFT,6,0.64,0.13,0.13,13,1.69,4086,9997.0
Stoner Cats,25,2.68,0.72,0.15,75,11.25,5028,10419.0
Takashi Murakami X Hublot,12,1.28,0.83,14.3,12,171.60000000000002,1274,1450.0
NIKE X                    RTFKT,12,1.28,0.83,0.0,12,0.0,1260,1441.0
3D Furus,110,11.78,1.39,0.2,261,52.2,12208,18710.0
The Super Fat Ape Club,7,0.75,3.65,0.0,7,0.0,192,192.0
All ChinaChic,5,0.54,2.49,0.0,5,0.0,202,201.0
Wonder  Secret  Club,9,0.96,0.85,9.3,9,83.7,929,1059.0
Trippy WorId,10,1.07,0.77,0.0,10,0.0,1130,1297.0
Shrouded Playground,17,1.82,0.81,0.0,19,0.0,2004,2359.0
The Amigos       Official,9,0.96,0.89,12.5,9,112.5,871,1010.0
Possessed Official,16,1.71,0.84,0.0,18,0.0,1834,2138.0
Louis Vuitton   OfficiaI,9,0.96,1.06,0.0,9,0.0,747,851.0
ShibuyaCannesBrut,10,1.07,0.89,15.0,10,150.0,986,1121.0
Great Goats OfficiaI,9,0.96,1.25,0.0,9,0.0,638,722.0
JIKAN   STUDIOS,10,1.07,0.87,9.7,10,97.0,1017,1156.0
The Legends-X,6,0.64,0.6,0.0,6,0.0,1002,1001.0
Nintendo            Official,14,1.5,0.83,15.0,15,225.0,1568,1818.0
Mr          Bean,10,1.07,0.8,15.0,10,150.0,1092,1256.0
B.F.Party Official,17,1.82,0.83,7.6,19,144.4,1953,2289.0
Rolex               Official,14,1.5,0.73,15.0,15,225.0,1760,2060.0
MoonLanderz Free Live,109,11.67,1.37,0.0,261,0.0,12369,19042.0
WomenUnite Hot,10,1.07,1.66,0.0,10,0.0,602,602.0
Louis  Vuitton  Ape  nft,16,1.71,0.72,0.0,18,0.0,2118,2500.0
GutterCatGang TURIYI,9,0.96,0.9,0.99,9,8.91,1003,1002.0
GutterCatGang Will,11,1.18,1.1,0.27,11,2.97,1002,1001.0
Youtopia     OfficiaI,9,0.96,1.21,0.0,9,0.0,660,746.0
TheManWhoSoldTheWorld Yours,2,0.21,0.2,0.1,2,0.2,1003,1002.0
Mystics  Genesis,9,0.96,0.98,0.0,9,0.0,810,921.0
