name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Chain Dreamers,1,0.11,0.18,0.04,1,0.04,209,553.0
OG Dreamers,1,0.11,0.2,0.25,1,0.25,190,504.0
Colon Parenthesis - By Amber Vittoria,3,0.33,1.71,0.11,3,0.33,126,175.0
Emotes by Heart You,552,60.53,50.59,0.42,725,304.5,1103,1433.0
inBetweeners by GianPiero,8,0.88,0.4,0.3,43,12.9,5684,10777.0
NounPunks.eth,22,2.41,0.8,0.02,80,1.6,4179,9969.0
PogPunks NFT,1,0.11,0.03,0.02,1,0.02,1038,3209.0
Quantum Key,345,37.83,40.0,1.9,406,771.4,881,1015.0
Holly+ DAO Genesis Token,5,0.55,2.16,13.37,6,80.22,239,278.0
ChipArt,108,11.84,33.81,0.05,236,11.8,334,698.0
Queens+Kings Traits,49,5.37,5.49,0.01,539,5.39,520,9822.0
Persona Lamps,2,0.22,0.05,0.06,2,0.12,1360,4443.0
Zodiac Capsules,11,1.21,0.29,0.3,27,8.1,1876,9348.0
CryptoMories,27,2.96,0.72,0.54,72,38.88,5203,9948.0
Capsule House,18,1.97,0.34,1.1,34,37.400000000000006,3815,10000.0
Mellow Mice,1,0.11,0.39,0.01,2,0.02,273,507.0
Hashmasks,43,4.71,0.56,0.63,92,57.96,5147,16367.0
Brain Loops,49,5.37,7.5,0.3,75,22.5,589,1000.0
podGANS,56,6.14,14.41,0.75,146,109.5,669,1013.0
ClipMatrix Creatures,23,2.52,9.43,0.05,46,2.3000000000000003,324,488.0
Mini Supers,4,0.44,0.39,0.08,27,2.16,3305,6969.0
XOLO Keys,7,0.77,700.0,0.25,7,1.75,4836,1.0
2112.run Genesis Cryptorunners,3,0.33,0.38,0.04,10,0.4,1255,2598.0
Never Fear Truth  by Johnny Depp,9,0.99,0.26,0.4,10,4.0,2229,3850.0
Bobaverse NFT,2,0.22,0.23,0.02,4,0.08,616,1740.0
Rebels In Disguise : Generative Collection,3,0.33,0.57,0.02,4,0.08,566,706.0
Shackled Genesis,72,7.89,15.23,0.05,156,7.800000000000001,401,1024.0
2112.run rootPasses,3,0.33,133.33,0.02,8,0.16,1293,6.0
TheDeadDoodles,2,0.22,1.67,0.0,32,0.0,622,1920.0
Censored*,52,5.7,0.17,0.001,52,0.052000000000000005,29766,29766.0
A LIT Invitation to Kindness,31,3.4,1033.33,0.01,31,0.31,6095,3.0
- TronWars -,10,1.1,0.17,0.09,15,1.3499999999999999,4901,8888.0
marlo,1,0.11,33.33,22.0,1,22.0,3,3.0
Angry Ape Army Evolution Collection,52,5.7,1.6,0.2,160,32.0,2756,10000.0
The Aquatica Collection,73,8.0,46.89,0.02,143,2.86,169,305.0
Genesis Voxmon,7,0.77,12.0,0.5,9,4.5,35,75.0
Creepz Mega Shapeshifterz,8,0.88,0.63,0.5,22,11.0,1990,3506.0
Down 2 Earth Club,2,0.22,0.88,0.1,2,0.2,69,226.0
LIT Project Two: Flux,34,3.73,0.87,0.03,38,1.14,4041,4369.0
Creepz Shapeshifterz,9,0.99,1.13,0.1,28,2.8000000000000003,1249,2470.0
Lucky Foo Dogs NFT,4,0.44,0.5,0.01,10,0.1,654,2000.0
WGMI Premium Membership,91,9.98,3.13,0.12,125,15.0,3695,3994.0
Mutant Lads,5,0.55,1.27,0.01,16,0.16,715,1262.0
LIT Collaboration One: Never Fear Truth,20,2.19,2000.0,0.02,20,0.4,2160,1.0
The Burrows NFT,3,0.33,0.13,0.0,7,0.0,3228,5462.0
Rengoku Legends [Samurai],6,0.66,0.19,0.07,12,0.8400000000000001,3703,6278.0
rekt | fees.wtf,30,3.29,0.35,0.01,30,0.3,8507,8607.0
The Jims,20,2.19,3.91,0.2,80,16.0,1062,2048.0
PX Quest,2,0.22,0.06,0.09,3,0.27,2243,5000.0
NeckVille,8,0.88,0.25,0.04,14,0.56,2606,5555.0
Rainbow Cats NFT,3,0.33,0.34,0.0,17,0.0,2129,5001.0
Larva Breads,6,0.66,0.82,0.0,41,0.0,1194,4999.0
Wunks,3,0.33,0.13,0.02,8,0.16,2943,6000.0
Creepz Invasion Pass,13,1.43,1300.0,0.16,13,2.08,3519,1.0
Angry Ape Army Weapons,3,0.33,1.07,0.04,33,1.32,982,3097.0
Dysto Apez Official,3,0.33,0.29,0.4,13,5.2,1911,4444.0
Fyat Lux (Dawn Collection),37,4.06,1.82,0.06,147,8.82,3868,8080.0
Psychedelics Anonymous Component 1,12,1.32,0.18,0.67,17,11.39,5262,9584.0
Rug Radio Membership Pass,85,9.32,0.64,0.07,128,8.96,13672,20000.0
A.N.I.M.O,18,1.97,1.06,0.1,106,10.600000000000001,3704,10000.0
Time Squared by steen x n-e-o,30,3.29,21.23,0.1,45,4.5,156,212.0
Lucky Zeros | Purebase,2,0.22,5.76,0.34,192,65.28,1416,3333.0
Larva Lads,36,3.95,1.44,0.1,72,7.2,2689,5000.0
The Degenaissance,22,2.41,0.88,0.31,22,6.82,2309,2500.0
JPG PEOPLE by Debbie Tea,35,3.84,1.55,0.01,138,1.3800000000000001,4561,8888.0
Dream Engine by REMO x DCsan,7,0.77,2.83,0.08,10,0.8,203,353.0
Cushions by Devi Parikh,3,0.33,3.5,0.15,7,1.05,125,200.0
Project NANOPASS,7,0.77,0.18,2.65,10,26.5,4047,5555.0
Property's NFT,7,0.77,0.32,0.06,19,1.14,2216,6000.0
Squishy Squad NFT,4,0.44,0.14,0.16,12,1.92,5953,8888.0
MoodRollers by Lucas Zanotto,16,1.75,0.58,0.42,29,12.18,2815,5000.0
PREMINT Creator Pass,7,0.77,1.88,1.0,8,8.0,397,425.0
Cryptowalkers-Official,3,0.33,0.18,0.35,12,4.199999999999999,2089,6545.0
DuskBreakers,12,1.32,1.28,0.19,128,24.32,2799,10000.0
Shopverse,3,0.33,0.21,0.06,6,0.36,1963,2800.0
SlimHoods Specials,10,1.1,500.0,0.02,10,0.2,1589,2.0
Kohi x eepmon CityLights,15,1.64,4.47,0.04,54,2.16,561,1208.0
JRNY CLUB OFFICIAL,11,1.21,0.17,1.58,17,26.86,6575,10000.0
The Forgotten Cult,6,0.66,0.9,0.01,30,0.3,1142,3333.0
Angry Ape Army,4,0.44,1.14,2.5,38,95.0,1103,3333.0
ZenAcademy,68,7.46,3500.0,0.19,70,13.3,5173,2.0
Cryptoplanet 10/10 editions,1,0.11,6.25,0.1,1,0.1,97,16.0
DIGITZ GENESIS COLLECTION,2,0.22,0.82,0.16,18,2.88,1147,2182.0
COMPLEXTOADZ NFT,2,0.22,7.41,0.15,6,0.8999999999999999,59,81.0
SlimHoods,16,1.75,0.58,0.57,29,16.529999999999998,2823,5000.0
Icy Founders Club,16,1.75,1.44,0.47,19,8.93,1293,1320.0
Woodies Generative Characters,171,18.75,7.16,0.19,697,132.43,3862,9739.0
Complexdog illustrations,1,0.11,33.33,0.1,1,0.1,5,3.0
0N1 Force,35,3.84,0.9,0.52,70,36.4,4431,7777.0
moonholders,5,0.55,180.0,3.7,9,33.300000000000004,37,5.0
Uniswap V3 Positions,45,4.93,0.07,0.0,140,0.0,57817,205081.0
iAMs,1,0.11,1.46,0.12,7,0.84,198,479.0
Chubbies,12,1.32,0.75,0.06,75,4.5,3392,9997.0
LetsWalk,12,1.32,23.61,3.58,17,60.86,680,72.0
Confluence,48,5.26,10.47,0.14,103,14.420000000000002,596,984.0
Pixel Vault MintPass,86,9.43,6250.0,0.15,125,18.75,9292,2.0
Moonlings NFT Official,32,3.51,2.43,0.02,243,4.86,3324,10000.0
Heroes Follow Heroes 2021,20,2.19,2000.0,0.01,20,0.2,1254,1.0
xmfers,7,0.77,0.53,0.01,37,0.37,2545,6969.0
Riot Girls,17,1.86,4.2,0.2,28,5.6000000000000005,498,666.0
in2oblivion,1,0.11,100.0,0.0,3,0.0,1,3.0
Alivacious,13,1.43,2.33,0.0,65,0.0,695,2789.0
Para Bellum  by Matty Mariansky,15,1.64,2.5,0.14,25,3.5000000000000004,560,1000.0
Stations by Fernando Jerez,18,1.97,3.11,0.04,28,1.12,539,900.0
ARTCODE Magazine,5,0.55,1.49,0.03,6,0.18,206,404.0
Neogen Space Monkeys by Dalek x Generative Artworks,18,1.97,1.16,0.04,58,2.32,1876,5000.0
Cosmic Reef by Leo Villareal,18,1.97,3.71,0.99,38,37.62,378,1024.0
WoW Pixies Official,7,0.77,4.73,0.15,263,39.449999999999996,2062,5555.0
ChainFaces Arena,46,5.04,0.56,0.03,152,4.56,5817,26969.0
PAPER DOLLS V2,1,0.11,9.09,5.0,1,5.0,9,11.0
Animated Octo Garden,4,0.44,3.3,0.29,11,3.19,243,333.0
merge.,35,3.84,0.13,0.19,35,6.65,9540,26580.0
I Saw It in a Dream by Steve Pikelny,9,0.99,3.32,0.09,34,3.06,566,1024.0
Gazettes by Redlioneye Gazette,12,1.32,1.66,0.07,17,1.1900000000000002,431,1024.0
Enchiridion by Generative Artworks,11,1.21,2.93,0.07,30,2.1,578,1024.0
Spaghettification by Owen Moore,7,0.77,0.68,0.04,7,0.28,627,1024.0
Rituals - Venice by Aaron Penne x Boreta,14,1.54,2.6,0.31,26,8.06,633,1000.0
Rapture by Thomas Lin Pedersen,20,2.19,3.5,0.2,35,7.0,586,1000.0
Ensō by Matto,15,1.64,2.5,0.09,25,2.25,676,1000.0
Organized Disruption by Joshua Davis / PrayStation,9,0.99,1.4,0.07,14,0.9800000000000001,571,1000.0
Gizmobotz by Mark Cotton,8,0.88,1.2,0.1,12,1.2000000000000002,623,1000.0
Star Flower by Ruben Alexander,14,1.54,3.0,0.04,30,1.2,676,1000.0
Ode to Roy by artplusbrad,12,1.32,2.54,0.2,23,4.6000000000000005,469,906.0
[Dis]entanglement by onlygenerated,10,1.1,2.33,0.05,17,0.8500000000000001,448,730.0
Augmented Sequence by toiminto,7,0.77,1.37,0.04,14,0.56,639,1024.0
Talking Blocks by REMO x DCsan,6,0.66,1.37,0.1,7,0.7000000000000001,330,512.0
Gravity 12 by Jimmy Herdberg,8,0.88,1.76,0.07,9,0.6300000000000001,340,512.0
CatBlocks by Kristy Glas,12,1.32,4.49,0.38,23,8.74,301,512.0
planets by donnoh,5,0.55,1.56,0.11,8,0.88,306,512.0
Empyrean by Generative Artworks,7,0.77,1.6,0.12,8,0.96,229,500.0
Scoundrels by Kristy Glas,17,1.86,1.86,0.03,38,1.14,919,2047.0
LeWitt Generator Generator by Mitchell F. Chan,13,1.43,4.27,0.9,32,28.8,429,750.0
Transitions by Jason Ting x Matt Bilfield,33,3.62,1.85,0.09,87,7.83,2416,4712.0
High Tide by Artem Verkhovskiy x Andy Shaw,4,0.44,0.54,0.06,4,0.24,510,745.0
Low Tide by Artem Verkhovskiy x Andy Shaw,5,0.55,1.88,0.05,7,0.35000000000000003,270,373.0
Octo Garden by Rich Lord,4,0.44,3.0,0.59,10,5.8999999999999995,240,333.0
Patterns of Life by Vamoss,6,0.66,3.12,0.08,16,1.28,364,512.0
Antennas by gcrll,2,0.22,4.4,0.19,11,2.09,149,250.0
Petri by Fabin Rasheed,2,0.22,1.0,0.32,2,0.64,129,200.0
Tboa Club,9,0.99,3.33,0.11,20,2.2,368,600.0
urn: genesis collection,13,1.43,800.0,0.06,16,0.96,1467,2.0
Worldwide Webb Land,43,4.71,0.78,1.7,74,125.8,4865,9508.0
Glitchy Bitches,24,2.63,7.54,0.05,88,4.4,239,1167.0
PunksDed,4,0.44,2.48,0.15,22,3.3,235,886.0
Bent by ippsketch,28,3.07,6.74,0.79,69,54.510000000000005,555,1023.0
Dive by Rafaël Rozendaal,5,0.55,2.1,0.29,7,2.03,190,333.0
Placement by Cooper Jamieson,6,0.66,1.93,0.11,7,0.77,205,362.0
Autology by steganon,15,1.64,2.34,0.26,24,6.24,641,1024.0
The Sandbox ASSETS,66,7.24,7.97,0.0,185,0.0,31025,2321.0
Quantum Curated,66,7.24,13.83,0.64,323,206.72,956,2335.0
Grailers,34,3.73,6.27,1.25,57,71.25,420,909.0
Gallery Premium Membership Cards,63,6.91,875.0,0.16,70,11.200000000000001,1076,8.0
The Family Mooks by Doodle Labs,26,2.85,1.19,0.07,44,3.08,1637,3695.0
"little boxes on the hillsides, child by LIA",11,1.21,1.86,0.06,14,0.84,480,754.0
phase by Loren Bednar,15,1.64,3.81,1.35,39,52.650000000000006,604,1024.0
Endless Nameless by Rafaël Rozendaal,11,1.21,4.3,0.57,43,24.509999999999998,573,1000.0
Dreams by Joshua Bagley,14,1.54,7.29,0.65,51,33.15,388,700.0
Beatboxes by Zeblocks,11,1.21,1.55,0.39,13,5.07,488,841.0
Divisions by Michael Connolly,10,1.1,6.6,0.65,33,21.45,282,500.0
Pathfinders by luxpris,12,1.32,3.0,0.17,30,5.1000000000000005,501,1000.0
Rinascita by Stefano Contiero,16,1.75,2.61,0.69,29,20.009999999999998,744,1111.0
Clarity by Chromorphs,2,0.22,0.3,0.0,3,0.0,395,986.0
Fomoverse,11,1.21,0.89,3.9,11,42.9,823,1234.0
Skulptuur by Piter Pasma,13,1.43,1.9,1.14,19,21.659999999999997,571,1000.0
Zapper - Season 2 Edition,11,1.21,53.33,0.01,16,0.16,79695,30.0
Fantasy Football NFT,2,0.22,0.11,0.0,11,0.0,762,10000.0
LOSTPOETS,54,5.92,1.34,0.2,372,74.4,8394,27754.0
Dot Matrix Gradient Study by Jake Rockland,8,0.88,2.96,0.12,16,1.92,372,540.0
Scribbled Boundaries by William Tan,24,2.63,4.2,0.4,43,17.2,651,1024.0
Alien Insects by Shvembldr,9,0.99,3.3,0.18,33,5.9399999999999995,440,1000.0
Dogs Unchained,7,0.77,0.27,0.02,16,0.32,2193,5911.0
Naughty Tigers Costume Club,3,0.33,0.09,0.0,9,0.0,2147,10000.0
Dogs Unchained - Proof of Steak,3,0.33,0.21,0.0,3,0.0,759,1405.0
Pixel Vault Founder's DAO,70,7.68,2.93,3.0,173,519.0,2960,5902.0
Yat,18,1.97,0.22,0.01,25,0.25,6623,11234.0
Baby Duck Pond,3,0.33,0.6,0.0,15,0.0,944,2483.0
Long Neckie Ladies,8,0.88,0.45,0.45,15,6.75,1615,3332.0
ONY by Shvembldr,1,0.11,2.0,0.5,1,0.5,41,50.0
Art Stars Club Official,7,0.77,0.86,0.0,33,0.0,1437,3853.0
Slacker Duck Pond,4,0.44,0.48,0.01,29,0.29,2185,6000.0
Meta Bots,4,0.44,0.13,0.0,13,0.0,1119,10000.0
LaMelo Ball Collectibles,13,1.43,0.56,0.02,46,0.92,3124,8241.0
Async Music,7,0.77,2.89,0.05,26,1.3,968,900.0
Zapper - Season 1 Edition,18,1.97,840.0,0.01,42,0.42,56506,5.0
Mitzsuki,7,0.77,47.62,0.01,20,0.2,492,42.0
Pop Wonder Editions,13,1.43,68.75,0.32,22,7.04,628,32.0
Concrete Park,9,0.99,0.26,0.01,10,0.1,487,3866.0
Paper Dragons,2,0.22,1.98,0.12,2,0.24,59,101.0
NFTBoxes,50,5.48,2.55,0.01,1114,11.14,4503,43617.0
Just the beginning,1,0.11,100.0,0.15,1,0.15,1,1.0
BlockArt,22,2.41,0.69,0.02,74,1.48,2858,10706.0
Async Art,10,1.1,0.5,0.02,20,0.4,1129,4035.0
Avastars,40,4.39,0.56,0.1,143,14.3,5071,25696.0
Sorare,7,0.77,0.0,0.03,9,0.27,17783,329763.0
KnownOrigin,74,8.11,0.43,0.01,255,2.5500000000000003,11117,58881.0
YEAR OF THE WOMAN,66,7.24,3.28,0.05,190,9.5,2426,5790.0
Gallery General Membership Cards,63,6.91,6300.0,0.03,63,1.89,2637,1.0
The Other Avatars by Saatchi Art,24,2.63,2.06,0.02,52,1.04,1316,2523.0
WVRPS by WarpSound (Official),50,5.48,1.67,0.25,167,41.75,4871,9999.0
Rubber Duckz,115,12.61,10.55,0.11,211,23.21,897,2000.0
Token Garden,10,1.1,1.71,0.33,10,3.3000000000000003,584,586.0
LinksDAO,53,5.81,1.6,0.48,145,69.6,5290,9090.0
Buckets Club,4,0.44,0.8,0.99,8,7.92,643,1000.0
VectorField,15,1.64,39.34,0.5,24,12.0,43,61.0
Flamingo Flutter,88,9.65,11.35,0.24,184,44.16,874,1621.0
ABSOLUTELY DO NOT MINT,69,7.57,4.43,0.26,166,43.160000000000004,1256,3743.0
The KILLAZ,3,0.33,0.14,0.03,14,0.42,4081,9971.0
The Wanderers,39,4.28,0.83,0.35,74,25.9,4254,8888.0
The BirdHouse,3,0.33,0.22,0.01,13,0.13,2087,6000.0
Save the Martians,3,0.33,0.07,0.01,10,0.1,4032,14200.0
StripperVille NFTs,1,0.11,0.03,0.09,1,0.09,839,3010.0
Lazy Lions,19,2.08,0.25,1.6,25,40.0,5108,10079.0
Cute Pig Club,3,0.33,0.15,0.0,15,0.0,2139,10000.0
