name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
ColorPencil Club X Ape,5,0.55,1.4,0.0,5,0.0,323,357.0
VeeCon  Tickets,71,7.79,1.22,1.55,125,193.75,5574,10239.0
Gutter Punks Flyer - CryptoPunks,61,6.69,1.68,2.0,168,336.0,3424,9999.0
Gutter Punks Flyer - Meebits,107,11.73,2.21,0.1,442,44.2,6105,20000.0
Gutter Punks Flyer - Azuki,47,5.15,0.76,3.5,76,266.0,5571,9999.0
Gutter Punks Flyer - BAYC,82,8.99,1.17,0.19,117,22.23,6378,10000.0
Mercedes-Benz Colletion NFT,2,0.22,100.0,0.0,4,0.0,35,4.0
10KTF: GUCCI GRAIL MINT PASS,12,1.32,1200.0,0.34,12,4.08,169,1.0
CyberBrokers,51,5.59,2.44,2.48,244,605.12,3687,9987.0
Space Doodles,28,3.07,1.0,14.2,50,710.0,2142,5005.0
Grails by PROOF Collective,555,60.86,79.44,2.33,823,1917.5900000000001,669,1036.0
Champions Ascension,2,0.22,0.03,0.28,2,0.56,2586,7621.0
Zombie Ape Dead Club,3,0.33,1.0,0.05,3,0.15000000000000002,60,301.0
Commsaur,4,0.44,0.75,0.02,25,0.5,1158,3332.0
PUNKS: Origin Stories,63,6.91,2.6,0.09,152,13.68,3507,5848.0
The JPEG Gallery,2,0.22,8.33,0.0,3,0.0,28,36.0
Iowest effort punks,6,0.66,6.89,0.0,256,0.0,161,3716.0
RTFKT PodX,83,9.1,8300.0,0.66,83,54.78,9048,1.0
RTFKT - MNLTH,90,9.87,9000.0,6.1,90,549.0,8942,1.0
Cool Pets NFT,84,9.21,1.31,1.34,244,326.96000000000004,10075,18684.0
The Hair Diary,1,0.11,8.33,0.1,1,0.1,37,12.0
HUXLEY Robots,9,0.99,1.4,4.59,14,64.25999999999999,524,1000.0
Inside Out Alpha,1,0.11,100.0,0.025,1,0.025,3,1.0
The Billion APES,1,0.11,20.0,3.8,1,3.8,29,5.0
SUPERPLASTIC:  Headtripz Pillz,21,2.3,733.33,0.09,22,1.98,1873,3.0
Meta Meatball,1,0.11,9.09,0.01,1,0.01,3,11.0
Azuki,51,5.59,0.79,13.0,79,1027.0,5597,10000.0
Shades of Blue II,1,0.11,4.55,0.25,1,0.25,9,22.0
ZORBS by ZORA,61,6.69,0.43,0.01,246,2.46,32705,56741.0
Psychedelics Anonymous Genesis,20,2.19,0.39,3.0,37,111.0,5992,9595.0
HPPR Hall Passes,3,0.33,75.0,0.16,3,0.48,337,4.0
Lil Pudgys,12,1.32,0.3,0.04,58,2.32,6377,19076.0
DEGENERATE/REGENERATE,43,4.71,1.47,0.09,109,9.81,4117,7400.0
CLONE X - X TAKASHI MURAKAMI,80,8.77,1.44,14.0,276,3864.0,8654,19121.0
Little Lemon Friends,14,1.54,0.47,0.26,47,12.22,5375,9999.0
PROOF Collective,912,100.0,100.0,37.0,1000,37000.0,912,1000.0
Alpha Girl Club,15,1.64,0.39,0.13,38,4.94,5247,9860.0
Celebrity MAGAO,1,0.11,50.0,0.0,1,0.0,2,2.0
LORECORE,1,0.11,16.67,0.0,1,0.0,3,6.0
Poolsuite - Executive Member,41,4.5,3.44,1.2,86,103.2,1968,2500.0
Future Proof Visions,1,0.11,4.24,0.39,5,1.9500000000000002,74,118.0
NFTihon S01,1,0.11,0.33,0.07,1,0.07,10,300.0
Chain Runners,40,4.39,3.81,0.89,381,339.09000000000003,3298,10000.0
Crypto Coven,37,4.06,0.92,0.95,90,85.5,4783,9761.0
Smilesssvrs ::),17,1.86,0.39,0.9,34,30.6,4519,8744.0
Sleepwalkers NFT,2,0.22,1.01,0.02,6,0.12,284,594.0
Boonji Project,23,2.52,0.51,0.16,57,9.120000000000001,5125,11111.0
Sneaky Bat Syndicate,1,0.11,0.02,0.11,2,0.22,1398,8293.0
Oni Ronin: Ascension,9,0.99,0.51,0.01,21,0.21,1981,4144.0
Doodles,49,5.37,1.07,12.75,107,1364.25,4306,10000.0
Aether Pilgrims,1,0.11,1.85,0.0,1,0.0,8,54.0
Fidenza by Tyler Hobbs,31,3.4,7.01,53.0,70,3710.0,511,999.0
HUXLEY Comics,25,2.74,0.75,0.23,209,48.07,3614,27788.0
Philosophical Foxes,10,1.1,1.42,0.21,20,4.2,707,1411.0
10KTF Stockroom,49,5.37,771.43,0.06,108,6.4799999999999995,3299,14.0
GAWDS,15,1.64,2.49,0.06,134,8.04,1523,5376.0
MetaHero Universe: United Planets,101,11.07,4254.55,0.1,468,46.800000000000004,12088,11.0
GEN.ART Drop Collection,39,4.28,1.59,0.02,179,3.58,2396,11226.0
The Humanoids,10,1.1,0.14,0.1,14,1.4000000000000001,3866,10000.0
Crypto Packaged Goods,10,1.1,90.91,12.69,10,126.89999999999999,300,11.0
Bubu Emoji,1,0.11,6.25,0.01,1,0.01,50,16.0
888 Inner Circle The Drops,44,4.82,2.28,0.0,165,0.0,7070,7233.0
Cyber Factory 2,93,10.2,2100.0,0.59,105,61.949999999999996,9403,5.0
10KTF,53,5.81,2.16,0.35,397,138.95,4653,18377.0
The Blitnauts,8,0.88,0.61,3.47,9,31.23,558,1485.0
FOOTYVERSE,1,0.11,1.03,9.99,8,79.92,65,779.0
Tunes Project,15,1.64,0.44,0.01,22,0.22,2240,4996.0
More Loot,34,3.73,0.52,0.0,665,0.0,23263,128548.0
cLoot (for Chinese Adventurers),14,1.54,0.94,0.0,23,0.0,1201,2454.0
Violently Cute: Kinako's Revenge,3,0.33,2.63,0.05,5,0.25,79,190.0
Mutant Ape Yacht Club,98,10.75,0.85,22.5,157,3532.5,12033,18476.0
Bored Ape Chemistry Club,17,1.86,600.0,32.2,18,579.6,834,3.0
Loot (for Adventurers),37,4.06,0.87,1.64,68,111.52,2550,7779.0
GEN.ART Membership,44,4.82,1.18,0.23,60,13.8,2405,5100.0
Adam Bomb Squad,62,6.8,0.78,0.58,196,113.67999999999999,8631,24999.0
MetaHero Universe: Core Identities,1,0.11,1.39,94.0,1,94.0,22,72.0
Sugar (Genesis),11,1.21,214.29,0.19,15,2.85,887,7.0
DeadFellaz,48,5.26,0.74,2.6,74,192.4,6202,9999.0
Tom Sachs Rocket Factory,27,2.96,4.79,2.1,84,176.4,580,1755.0
Stoner Cats,35,3.84,0.8,0.26,83,21.580000000000002,5046,10419.0
Pudgy Penguins,32,3.51,0.57,1.06,51,54.06,4458,8887.0
MemeCalfNFT,10,1.1,0.84,0.03,10,0.3,335,1194.0
SUPERPLASTIC: Cryptojankyz,35,3.84,0.43,0.2,59,11.8,5773,13868.0
Punkettes,1,0.11,0.67,0.03,1,0.03,76,150.0
Forgotten Runes Wizards Cult,37,4.06,1.3,2.69,122,328.18,2794,9407.0
Cool Cats NFT,67,7.35,1.25,8.4,124,1041.6000000000001,5379,9941.0
Bored Ape Kennel Club,55,6.03,1.06,8.42,102,858.84,5508,9602.0
Luchadores.io,5,0.55,0.61,0.1,61,6.1000000000000005,2024,10000.0
Blitmap,9,0.99,0.59,6.25,10,62.5,603,1700.0
VeeFriends,71,7.79,1.23,14.75,126,1858.5,5259,10255.0
Meebits,108,11.84,2.22,5.64,444,2504.16,6104,20000.0
Bored Ape Yacht Club,83,9.1,1.2,103.0,120,12360.0,6350,9999.0
PKG NFTs,1,0.11,25.0,1.0,1,1.0,4,4.0
JOYWORLD JOYtoys,15,1.64,0.86,0.05,29,1.4500000000000002,1518,3357.0
Rarible,137,15.02,0.33,0.0,1041,0.0,209848,313821.0
ENS: Ethereum Name Service,421,46.16,0.18,0.0042,1177,4.9434,303209,672530.0
CryptoPunks,63,6.91,1.69,71.95,169,12159.550000000001,3426,9999.0
CryptoKitties,46,5.04,0.02,0.0,317,0.0,114671,2011378.0
HOWLERZ,10,1.1,0.8,0.2,40,8.0,2341,5000.0
3Landers,37,4.06,1.73,1.9,173,328.7,5517,10000.0
Unattended V2,1,0.11,50.0,0.0,1,0.0,2,2.0
BFF Friendship Bracelets,66,7.24,1.02,0.74,79,58.46,6840,7733.0
Dead Ringers: Edition by Dmitri Cherniak,264,28.95,26400.0,0.02,264,5.28,20215,1.0
Floadmaps,16,1.75,166.67,0.0,30,0.0,3022,18.0
TOKEHANDS,4,0.44,5.0,0.15,5,0.75,74,100.0
Buy Your Own Time (BYOT),7,0.77,13.16,0.03,70,2.1,111,532.0
Open Head NFT,2,0.22,0.24,0.03,7,0.21,1345,2890.0
Phouns NFT,7,0.77,0.38,0.01,14,0.14,810,3661.0
Flipmap,16,1.75,0.41,0.02,34,0.68,2944,8300.0
Coodles,6,0.66,0.12,0.02,11,0.22,4782,8888.0
Flowers by RVig,33,3.62,1.38,0.05,85,4.25,3059,6158.0
Orthogone by Pandelune,8,0.88,1.16,0.03,9,0.27,443,777.0
Plottables,20,2.19,1.99,0.1,32,3.2,536,1606.0
BlueWorld Metaverse,1,0.11,0.03,0.08,1,0.08,814,3538.0
Birthblock,7,0.77,0.61,0.05,7,0.35000000000000003,1139,1146.0
Sora's Dreamworld,6,0.66,0.22,0.01,22,0.22,3664,10000.0
2545 By Gr4y,11,1.21,0.25,0.0,25,0.0,2945,9997.0
NiftyStonks,24,2.63,9.37,0.08,31,2.48,302,331.0
First First NFTs,39,4.28,3.36,0.03,168,5.04,1795,5000.0
dubtags,1,0.11,0.01,0.0,1,0.0,25,17296.0
9021Collective,6,0.66,0.66,0.01,36,0.36,1442,5496.0
Nice Drips,11,1.21,0.31,0.01,34,0.34,3057,11111.0
Infinite Tiles,9,0.99,1.17,0.03,22,0.6599999999999999,963,1875.0
Bastard,1,0.11,0.1,0.0,1,0.0,334,1000.0
Todd & Rahul's Angel Fund,5,0.55,1.25,0.05,5,0.25,395,399.0
Bonsai by ZENFT,84,9.21,1.91,0.14,170,23.8,2854,8888.0
Justin Aversano - Smoke and Mirrors - Physical Tarot Scrolls,15,1.64,11.29,5.0,28,140.0,201,248.0
CryptoBauhaus,5,0.55,1.97,0.09,13,1.17,318,659.0
PUNKS Comic,67,7.35,1.88,0.13,326,42.38,6970,17301.0
Rug Radio - Genesis NFT,78,8.55,0.83,0.4,165,66.0,10167,20000.0
Larva Doods,9,0.99,0.46,0.0,41,0.0,4223,8888.0
Chromie Squiggle by Snowfro,156,17.11,4.36,8.3,405,3361.5000000000005,2327,9281.0
Supreme Kong,1,0.11,0.1,0.44,2,0.88,1147,2000.0
Queens+Kings,358,39.25,7.66,0.18,531,95.58,2570,6932.0
Goopdoods by Goopdude - Official Collection,5,0.55,0.18,0.16,14,2.24,3288,7999.0
"I Like You, You're Weird",6,0.66,0.35,0.15,35,5.25,5044,10000.0
Invisible Friends,18,1.97,0.38,6.7,19,127.3,4139,5000.0
Elemental by Fang Lijun,159,17.43,9.15,0.57,185,105.44999999999999,1186,2022.0
Deadfrenz Collection,39,4.28,0.78,0.34,75,25.500000000000004,6024,9648.0
The Kiss Precise,76,8.33,17.85,0.29,133,38.57,445,745.0
