name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
RickhouseDAO,101,10.85,10100.0,0.38,101,38.38,454,1.0
Moonbirds,858,92.16,24.25,18.98,2419,45912.62,6637,9974.0
Year of the Woman Beholders Pass,36,3.87,3600.0,0.02,36,0.72,930,1.0
PREMINT Collector Pass - OFFICIAL,338,36.31,5.86,1.27,586,744.22,7783,10000.0
ChipArt,87,9.34,25.43,0.03,178,5.34,332,700.0
Quantum Key,277,29.75,33.89,4.6,344,1582.3999999999999,844,1015.0
Year of the Woman,49,5.26,2.31,0.02,141,2.82,2513,6093.0
Creature Journey Artifacts,17,1.83,0.88,0.01,27,0.27,1925,3057.0
RELI3F UKR,37,3.97,318.92,0.0,118,0.0,4010,37.0
Elemental by Fang Lijun,107,11.49,5.79,4.99,117,583.83,1274,2022.0
Dead Ringers: Edition by Dmitri Cherniak,236,25.35,23600.0,0.03,236,7.08,19990,1.0
PROOF Collective,914,98.17,98.2,93.0,982,91326.0,931,1000.0
The Lizard Lab,4,0.43,0.72,0.04,36,1.44,1592,5000.0
Quantum Curated,69,7.41,11.02,0.48,283,135.84,975,2569.0
Jay Pegs Auto Mart,7,0.75,1.25,0.01,81,0.81,1364,6478.0
Creature World,67,7.2,1.43,0.42,143,60.059999999999995,6217,10000.0
Bonsai by ZENFT,79,8.49,1.85,0.08,164,13.120000000000001,2906,8888.0
Parallel Alpha,45,4.83,150.57,0.0,798,0.0,44676,530.0
Urbit ID,6,0.64,0.14,0.02,25,0.5,7552,17593.0
Moonbirds V2,233,25.03,92.46,0.0,233,0.0,252,252.0
Pixoods,43,4.62,1.11,0.01,84,0.84,3624,7601.0
Genesis by Claire Silver,38,4.08,15.0,3.0,75,225.0,371,500.0
Shop Pass by Scab Shop,160,17.19,12.36,0.08,309,24.72,1319,2500.0
Meta History - Museum of War,2,0.21,0.76,0.12,13,1.56,725,1709.0
COLORPENCIL X AZUKI,57,6.12,1.48,0.1,74,7.4,3563,4992.0
ColorPencil Club X BAYC,80,8.59,1.49,0.2,119,23.8,5315,8001.0
Gutter Punks Flyer - Meebits,93,9.99,2.24,0.02,448,8.96,6118,19999.0
Gutter Punks Flyer - BAYC,88,9.45,1.39,0.07,139,9.73,6374,9999.0
Pixel Vault MintPass,76,8.16,5650.0,0.18,113,20.34,10087,2.0
Moonlings NFT Official,24,2.58,2.03,0.02,203,4.0600000000000005,3105,10000.0
Grails by PROOF Collective,478,51.34,71.24,2.94,738,2169.72,649,1036.0
Heroes Follow Heroes 2021,17,1.83,1700.0,0.01,17,0.17,1253,1.0
PUNKS: Origin Stories,56,6.02,2.53,0.08,148,11.84,3481,5848.0
Zxdiacs - A Ghxsts Collection,11,1.18,75.0,5.3,18,95.39999999999999,460,24.0
PUNKS 2: TROPO Collector's Edition,17,1.83,2.67,0.34,20,6.800000000000001,706,749.0
Angry Ape Army Evolution Collection,39,4.19,0.92,0.16,92,14.72,2663,10000.0
Emotes by Heart You,436,46.83,40.75,0.9,584,525.6,1090,1433.0
WGMI Premium Membership,102,10.96,3.15,0.15,129,19.349999999999998,3781,4091.0
CatsOnChain (by PMD),1,0.11,0.2,0.01,2,0.02,352,1008.0
Elite Ape Entry Coins,81,8.7,8100.0,0.08,81,6.48,8578,1.0
AO Art Ball,14,1.5,0.31,0.08,21,1.68,4061,6776.0
Rug Radio - Genesis NFT,65,6.98,0.93,0.26,186,48.36,10010,20000.0
Totality by Hideki Tsukamoto,21,2.26,5.21,0.29,21,6.09,386,403.0
Rug Radio Membership Pass,71,7.63,0.66,0.06,133,7.9799999999999995,13649,20000.0
Queens+Kings,295,31.69,6.16,0.22,434,95.48,2498,7050.0
Ape Gang,3,0.32,0.11,0.13,9,1.17,2528,8008.0
Orthogone by Pandelune,7,0.75,1.16,0.04,9,0.36,442,777.0
♫ ByteBeats by DADABOTS x KAI,12,1.29,5.86,0.45,30,13.5,257,512.0
Stipple Sunsets by Jake Rockland,15,1.61,5.83,0.6,21,12.6,243,360.0
geVIENNAratives by CryptoWiener,7,0.75,0.99,0.06,11,0.6599999999999999,554,1107.0
NFT_PAPI,1,0.11,0.26,0.05,1,0.05,183,384.0
Timeless Characters,20,2.15,0.62,0.61,58,35.38,3085,9421.0
MDAO General Members,13,1.4,0.38,0.03,13,0.39,3276,3401.0
Toucan Gang,3,0.32,0.09,0.04,7,0.28,2199,7815.0
Refractions,88,9.45,1200.0,0.02,108,2.16,6441,9.0
Doodles,55,5.91,1.19,16.25,119,1933.75,4717,10000.0
phase by Loren Bednar,18,1.93,4.59,1.1,47,51.7,599,1024.0
glitch crystal monsters by Alida Sun,16,1.72,2.3,0.37,23,8.51,640,1000.0
Chromie Squiggle by Snowfro,167,17.94,7.17,7.45,667,4969.150000000001,2368,9305.0
Aerial View by daLenz,14,1.5,2.4,0.4,24,9.600000000000001,657,1000.0
27-Bit Digital by kai,14,1.5,4.1,0.2,42,8.4,521,1024.0
Endless Nameless by Rafaël Rozendaal,13,1.4,4.5,0.4,45,18.0,574,1000.0
Pigments by Darien Brito,22,2.36,3.81,2.0,39,78.0,671,1024.0
Elementals by Michael Connolly,21,2.26,7.68,1.32,46,60.720000000000006,369,599.0
Cryptoblots by Daïm Aggott-Hönsch,17,1.83,1.87,0.24,36,8.64,804,1921.0
Fusion by Hideki Tsukamoto,17,1.83,6.25,0.33,64,21.12,587,1024.0
Genesis by DCA,14,1.5,4.88,2.89,25,72.25,281,512.0
Hieroglyphs by pxlq,23,2.47,4.9,0.09,49,4.41,581,1000.0
MetaHero Universe: United Planets,90,9.67,4063.64,0.07,447,31.290000000000003,12013,11.0
GEN.ART Drop Collection,36,3.87,1.45,0.02,167,3.34,2435,11511.0
Top Cat Beach Club,4,0.43,0.39,0.03,27,0.8099999999999999,2079,6881.0
Woodies Generative Characters,149,16.0,5.75,0.17,560,95.2,3864,9739.0
Cyber Factory 2,83,8.92,1820.0,0.64,91,58.24,9401,5.0
First First NFTs,35,3.76,4.24,0.05,212,10.600000000000001,1785,5000.0
GEN.ART Airdrop Collection,26,2.79,0.7,0.01,57,0.5700000000000001,2756,8122.0
dotdotdots,9,0.97,0.49,0.11,24,2.64,2667,4870.0
Mutant Ape Yacht Club,102,10.96,0.9,28.49,168,4786.32,12348,18658.0
GEN.ART Membership,38,4.08,0.96,0.17,49,8.33,2383,5100.0
Scribbled Boundaries by William Tan,26,2.79,4.59,0.55,47,25.85,652,1024.0
Max Hay's Art,1,0.11,50.0,0.0,3,0.0,12,6.0
Alien Insects by Shvembldr,11,1.18,3.5,0.15,35,5.25,444,1000.0
Unknown Signals by k0ch,9,0.97,0.9,0.04,9,0.36,675,1000.0
Shabu Town Shibas,8,0.86,1.28,0.0,128,0.0,3154,10000.0
Audioglyphs,21,2.26,0.48,0.04,48,1.92,2736,10000.0
Singularity by Hideki Tsukamoto,21,2.26,4.79,2.6,49,127.4,396,1024.0
Cypher by Hideki Tsukamoto,13,1.4,3.91,0.63,40,25.2,539,1024.0
Pulses Of Imagination,3,0.32,0.49,0.02,5,0.1,406,1023.0
Structures by Max Hay,1,0.11,25.0,0.0,3,0.0,7,12.0
Formulae by Shvembldr,6,0.64,3.89,0.2,7,1.4000000000000001,133,180.0
Biomes A tribute to Conway's Game of Life,3,0.32,2.84,0.4,5,2.0,84,176.0
FVCK_CRYSTAL//,32,3.44,1.68,0.8,70,56.0,2293,4169.0
Treeverse Plots,26,2.79,0.53,1.15,55,63.24999999999999,3708,10420.0
Pixel Vault Founder's DAO,64,6.87,2.95,3.08,174,535.92,2954,5902.0
Yat,19,2.04,0.22,0.01,26,0.26,6937,11621.0
WavesOnChain,10,1.07,1.86,0.1,19,1.9000000000000001,422,1024.0
Yield Guild Badge,23,2.47,0.11,0.0,23,0.0,20956,20956.0
Avid Lines,16,1.72,5.6,2.4,28,67.2,262,500.0
Pixelglyphs,18,1.93,0.46,0.01,46,0.46,2356,9996.0
TBAC,20,2.15,450.0,1.38,45,62.099999999999994,1641,10.0
Top Dog Beach Club,8,0.86,0.48,0.07,38,2.66,2930,7997.0
Untamed Elephants,8,0.86,0.41,0.01,31,0.31,3137,7500.0
Bored Ape Kennel Club,61,6.55,1.1,7.2,106,763.2,5537,9602.0
Kolectiv,13,1.4,2.68,0.06,23,1.38,441,858.0
Ghxsts Cxlture,16,1.72,838.1,0.15,176,26.4,769,21.0
Etherpoems,2,0.21,1.46,0.1,3,0.30000000000000004,108,206.0
PUNKS Comic,57,6.12,1.81,0.1,314,31.400000000000002,6938,17301.0
Uniswap V3 Positions,39,4.19,0.08,0.0,164,0.0,60692,216622.0
Meebits,92,9.88,2.27,5.19,453,2351.07,6275,20000.0
Bored Ape Yacht Club,85,9.13,1.38,108.0,138,14904.0,6421,9999.0
MoonCats,35,3.76,0.43,0.67,82,54.940000000000005,5784,19076.0
The Meta Key,28,3.01,1175.0,0.36,47,16.919999999999998,6069,4.0
Hashmasks,38,4.08,0.55,0.4,90,36.0,5123,16365.0
stuz0r,1,0.11,0.31,0.75,1,0.75,45,322.0
Rarible,136,14.61,0.42,0.0,1319,0.0,212542,315300.0
DeepBlack,8,0.86,1.01,0.25,31,7.75,690,3074.0
Decentraland,12,1.29,0.05,2.7,46,124.2,6996,97451.0
CryptoPunks,61,6.55,1.5,61.99,150,9298.5,3438,9999.0
Gutter Punks - MURI,7,0.75,0.11,0.02,7,0.14,6321,6322.0
88 Dynasty Official,1,0.11,0.04,0.06,1,0.06,1695,2624.0
Gutter Punks - Shinsekai,8,0.86,0.34,0.01,34,0.34,5378,10000.0
Shinsekai Flyer old,3,0.32,0.3,0.0,3,0.0,735,1001.0
The Lobstars,5,0.54,0.1,0.11,8,0.88,3323,7777.0
Bored Ape Comic 2,3,0.32,0.38,0.05,6,0.30000000000000004,440,1574.0
Gutter Punks - Impostors,15,1.61,0.32,0.01,32,0.32,6018,10000.0
"""MOAR"" by Joan Cornella",9,0.97,0.29,1.23,16,19.68,3622,5555.0
CatBlox MetaPortal Collection,1,0.11,0.01,0.02,1,0.02,3069,7911.0
Zenlicious,1,0.11,0.12,0.2,1,0.2,548,840.0
Fuzzy Felons,2,0.21,0.09,0.11,3,0.33,1779,3329.0
Sneaky's Internet Friends,14,1.5,1.15,1.0,23,23.0,1340,2000.0
Ash Chapter Two: Metamorphosis,17,1.83,0.86,0.2,54,10.8,2683,6290.0
NoNo's NFT Official,2,0.21,0.25,0.02,20,0.4,1363,7929.0
Flipper 2022 Access Pass,3,0.32,300.0,0.1,3,0.30000000000000004,160,1.0
Gutter Punks Flyer - Cool Cats,66,7.09,1.49,0.06,148,8.879999999999999,5391,9941.0
LiveArtX Official Membership NFTs,1,0.11,0.03,0.01,1,0.01,2327,2936.0
HAPEBADGE,5,0.54,0.02,0.0,7,0.0,38501,42617.0
GOAT Art Factory,1,0.11,3.57,0.5,1,0.5,34,28.0
KaijuKongz,1,0.11,0.03,0.05,1,0.05,1839,3163.0
BITMEN - EVOWARE,1,0.11,100.0,0.8,1,0.8,478,1.0
CryptoCraft Genesis,2,0.21,0.05,0.01,2,0.02,1554,3936.0
Happy Homies NFT,2,0.21,0.15,0.01,10,0.1,1901,6500.0
GNSS Art by MGXS,11,1.18,0.52,0.57,46,26.22,3495,8812.0
10KTF Gucci Grail,63,6.77,2.4,1.25,102,127.5,3022,4253.0
MPL Official,17,1.83,2.64,0.12,264,31.68,3290,10000.0
3LAND INVENTORY,27,2.9,2700.0,0.23,27,6.21,4983,1.0
MURI by Haus,8,0.86,0.16,0.64,16,10.24,6339,10000.0
BYOCraft,11,1.18,0.85,0.16,69,11.040000000000001,2532,8150.0
Jake x Jenkins,23,2.47,0.86,0.04,23,0.92,2123,2689.0
ConiunPass,7,0.75,0.21,0.65,13,8.450000000000001,3721,6303.0
Fortune Dao Genesis,1,0.11,0.15,1.0,1,1.0,491,667.0
Super Ordinary Villains - SOV,3,0.32,0.08,0.03,7,0.21,4611,8888.0
8immortals,1,0.11,0.23,0.27,2,0.54,548,888.0
Wizard Pass Official,1,0.11,100.0,0.2,1,0.2,1931,1.0
"WallstreetCircle (SNAPSHOT HAPPENING, DO NOT BUY)",1,0.11,100.0,0.26,1,0.26,299,1.0
AquaTools,1,0.11,100.0,0.45,1,0.45,1301,1.0
Loser Club Official,4,0.43,0.12,0.25,12,3.0,5395,10000.0
Dippies,8,0.86,0.2,0.26,18,4.68,5747,8888.0
Leagues Under the Sea,1,0.11,0.23,0.01,2,0.02,430,888.0
TheStarslabOfficial,1,0.11,0.07,0.04,1,0.04,861,1390.0
