name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Grails by PROOF Collective,539,58.52,77.22,2.21,800,1768.0,668,1036.0
Emotes by Heart You,533,57.87,48.36,0.34,693,235.62,1114,1433.0
merge.,36,3.91,0.14,0.19,36,6.84,9667,25810.0
PROOF Collective,921,100.0,100.0,51.5,1000,51500.0,921,1000.0
Chain Runners,40,4.34,3.95,0.83,395,327.84999999999997,3318,10000.0
Waveblocks,24,2.61,12.16,0.6,81,48.6,289,666.0
TIMEPiece Minting Passes,40,4.34,0.4,0.01,50,0.5,10750,12405.0
FWAUMILY Member,2,0.22,200.0,0.95,2,1.9,195,1.0
LOSTPOETS,54,5.86,1.34,0.12,372,44.64,8379,27768.0
Monster Icons,5,0.54,13.64,8.0,6,48.0,38,44.0
Grassetti's OS Collection,6,0.65,100.0,0.35,14,4.8999999999999995,447,14.0
ENS: Ethereum Name Service,416,45.17,0.17,0.0069,1153,7.9557,309740,691739.0
CryptoKitties,44,4.78,0.01,0.0,215,0.0,114883,2011486.0
COLORPENCIL X AZUKI,38,4.13,1.67,0.0,50,0.0,2231,2992.0
ColorPencil Club X BAYC,67,7.27,1.48,0.0,89,0.0,4176,6001.0
VeeCon  Tickets,68,7.38,1.22,1.86,125,232.5,5573,10245.0
Gutter Punks Flyer - BAYC,88,9.55,1.4,0.05,140,7.0,6377,9999.0
Quantum Key,330,35.83,39.61,2.34,402,940.68,866,1015.0
Refractions,87,9.45,1300.0,0.02,104,2.08,6434,8.0
Chromie Squiggle by Snowfro,164,17.81,7.1,6.75,661,4461.75,2367,9305.0
Mutant Ape Yacht Club,105,11.4,0.93,23.8,173,4117.400000000001,12305,18544.0
Bored Ape Kennel Club,59,6.41,1.14,7.2,109,784.8000000000001,5523,9602.0
CartBAYC,1,0.11,1.01,1.0,1,1.0,88,99.0
VeeFriends,72,7.82,1.23,13.8,126,1738.8000000000002,5265,10255.0
Bored Ape Yacht Club,86,9.34,1.39,109.99,139,15288.609999999999,6411,9999.0
Elemental by Fang Lijun,155,16.83,9.0,0.55,182,100.10000000000001,1207,2022.0
Cool Pets NFT,82,8.9,1.38,1.45,258,374.09999999999997,9870,18710.0
PREMINT Collector Pass - OFFICIAL,317,34.42,4.39,0.37,439,162.43,7804,10000.0
Azuk X Colorpenci CIub,6,0.65,2.8,22.0,6,132.0,181,214.0
MONKEY-KlNGDOM OFFlClAL,6,0.65,2.08,10.0,6,60.0,244,288.0
Rolex OFFlCIAL,8,0.87,1.52,15.0,8,120.0,461,525.0
LOUlS VUlTTON,6,0.65,2.71,31.2,6,187.2,189,221.0
Apple OfficiaI,8,0.87,1.4,26.2,8,209.6,502,570.0
