name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Tom Sachs: Rocket Factory - Mothership Tickets,30,3.24,633.33,1.5,38,57.0,1818,6.0
Quantum Key,321,34.63,38.82,2.08,394,819.52,857,1015.0
IMPERMANENCE.,2,0.22,200.0,0.03,10,0.3,120,5.0
Censored*,52,5.61,0.17,0.0,52,0.0,29766,29766.0
Dead Ringers: Edition by Dmitri Cherniak,255,27.51,25500.0,0.04,255,10.200000000000001,20086,1.0
Emotes by Heart You,505,54.48,46.27,0.35,663,232.04999999999998,1110,1433.0
PROOF Collective,927,100.0,100.0,92.5,1000,92500.0,927,1000.0
Banana Hands,9,0.97,1.68,0.01,11,0.11,504,653.0
GRILLZ GANG TICKET,26,2.8,0.15,0.0,27,0.0,17760,18238.0
GRILLZ GANG,10,1.08,0.28,0.05,15,0.75,2764,5362.0
888 Inner Circle The Drops,44,4.75,2.36,0.0,171,0.0,7075,7233.0
888 inner circle,23,2.48,2300.0,0.32,23,7.36,2434,1.0
GRILLZ GANG OG BADGE,2,0.22,0.36,0.18,2,0.36,420,555.0
Tom Sachs: Rocket Factory - Patches,36,3.88,0.67,0.02,41,0.8200000000000001,5826,6083.0
Justin Aversano - Smoke and Mirrors - Physical Tarot Scrolls,16,1.73,9.41,4.0,27,108.0,225,287.0
Shop Pass by Scab Shop,164,17.69,16.48,0.18,298,53.64,950,1808.0
FVCK_AVATAR//,24,2.59,1.08,0.46,72,33.120000000000005,3215,6671.0
EightBit Me,123,13.27,6.14,0.11,546,60.06,2720,8888.0
Gutter Punks Flyer - Meebits,102,11.0,2.5,0.02,500,10.0,6119,19999.0
MFN Gutter Punks,52,5.61,1.66,0.0,250,0.0,6279,15021.0
Memories of Qilin by Emily Xie,37,3.99,9.67,0.8,99,79.2,488,1024.0
Pixel Vault MintPass,81,8.74,6000.0,0.18,120,21.599999999999998,9908,2.0
PUNKS: Origin Stories,61,6.58,7.99,0.08,467,37.36,3487,5848.0
Inner Child Museum,1,0.11,33.33,0.0,1,0.0,2,3.0
entretiempos by Marcelo Soria-Rodríguez,19,2.05,4.6,0.28,46,12.88,463,1000.0
Cameo Pass,20,2.16,1433.33,0.23,43,9.89,2845,3.0
PUNKS 2: TROPO Collector's Edition,19,2.05,2.94,0.4,22,8.8,706,749.0
WVRPS by WarpSound (Official),50,5.39,1.71,0.22,171,37.62,4780,9999.0
Elite Ape Entry Coins,87,9.39,8700.0,0.06,87,5.22,8607,1.0
ChainFaces Arena,40,4.31,0.45,0.07,121,8.47,5689,26969.0
Queens+Kings,328,35.38,7.12,0.2,502,100.4,2543,7047.0
Galaktic Gang,11,1.19,0.58,0.18,32,5.76,2563,5555.0
Async Blueprints,24,2.59,1.31,0.01,114,1.1400000000000001,3006,8687.0
Warp by espina,4,0.43,1.13,0.05,5,0.25,261,444.0
"Kai-Gen by Takeshi Murata, Christopher Rutledge, J. Krispy",16,1.73,3.52,0.06,72,4.32,808,2048.0
mfers,53,5.72,1.38,3.08,138,425.04,5319,10021.0
Birthblock,7,0.76,0.6,0.4,7,2.8000000000000003,1157,1164.0
The Sandbox ASSETS,65,7.01,7.79,0.01,189,1.8900000000000001,36251,2425.0
Chromie Squiggle by Snowfro,167,18.02,7.23,6.78,673,4562.9400000000005,2370,9305.0
The Final 25,1,0.11,10.0,0.69,2,1.38,19,20.0
6529 Gradient,2,0.22,1.98,10.65,2,21.3,48,101.0
MetaHero Universe: United Planets,95,10.25,4263.64,0.07,469,32.830000000000005,12043,11.0
Obits Official,68,7.34,5.48,0.05,391,19.55,2943,7132.0
Beach Boulevard,4,0.43,20.0,0.25,10,2.5,32,50.0
CrypToadz by GREMPLIN,98,10.57,3.29,2.85,231,658.35,3998,7014.0
Transient Gallery,1,0.11,33.33,0.0,1,0.0,3,3.0
Scribbled Boundaries by William Tan,28,3.02,5.18,0.4,53,21.200000000000003,652,1024.0
EulerBeats Wearables,3,0.32,300.0,1.0,3,3.0,220,1.0
Miscellaneous photos from Jungleboy,1,0.11,25.0,0.0,1,0.0,3,4.0
Bay Beginnings,1,0.11,6.0,0.35,3,1.0499999999999998,34,50.0
Ocean Intersection,4,0.43,20.0,5.0,10,50.0,38,50.0
Pixel Vault Founder's DAO,71,7.66,8.27,2.54,488,1239.52,2957,5902.0
Bonsai by ZENFT,84,9.06,13.85,0.13,1231,160.03,2866,8888.0
Meebits,102,11.0,2.48,4.46,496,2212.16,6197,20000.0
Superchief Season 1 Starter Pack,9,0.97,2.73,0.1,10,1.0,369,366.0
EulerBeats Enigma,4,0.43,11.11,5.0,6,30.0,104,54.0
NFTBoxes,49,5.29,2.72,0.02,1200,24.0,4584,44117.0
Foundation (FND),101,10.9,0.7,0.03,815,24.45,17577,116701.0
Rarible,144,15.53,0.47,3.1203e-06,1463,0.0045649989,211144,314351.0
ENS: Ethereum Name Service,410,44.23,0.16,0.0044,1125,4.95,313156,701548.0
SuperRare,60,6.47,1.23,0.13,375,48.75,6473,30581.0
PREMINT Collector Pass - OFFICIAL,363,39.16,5.94,0.55,594,326.70000000000005,7521,10000.0
Grails by PROOF Collective,524,56.53,74.03,1.5,767,1150.5,665,1036.0
Surf Punks NFT,2,0.22,1.0,0.45,5,2.25,335,500.0
Timeless Characters,21,2.27,0.64,0.66,60,39.6,3088,9421.0
Treeverse Plots,25,2.7,0.51,1.35,53,71.55000000000001,3723,10420.0
HidingVault,1,0.11,0.38,2.7,1,2.7,210,264.0
Queens+Kings Traits,47,5.07,4.48,0.02,490,9.8,561,10936.0
Phouns NFT,6,0.65,0.33,0.01,12,0.12,810,3661.0
Maps for grief by Louis-André Labadie,6,0.65,4.0,0.06,20,1.2,294,500.0
Companion-in-a-Box,12,1.29,0.66,0.02,24,0.48,1246,3658.0
Swing by Eltono,8,0.86,5.34,0.15,11,1.65,158,206.0
Metastarr,1,0.11,100.0,0.0,1,0.0,1,1.0
BaboonBet,11,1.19,0.99,0.0,99,0.0,2424,10000.0
Waveblocks,23,2.48,11.86,0.8,79,63.2,288,666.0
Crypto Coven,36,3.88,1.09,0.91,106,96.46000000000001,4807,9761.0
