name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
postcards from paradise,7,0.76,1.33,0.07,9,0.6300000000000001,593,676.0
KingFrogs,30,3.24,1.16,0.03,182,5.46,5563,15652.0
The Humanoids,10,1.08,0.14,0.1,14,1.4000000000000001,3868,10000.0
Woodies Generative Characters,162,17.48,6.75,0.18,657,118.25999999999999,3854,9739.0
Yolo Dice,4,0.43,0.14,0.01,5,0.05,986,3636.0
Cryptone Color,3,0.32,3.46,0.04,13,0.52,199,376.0
RUGSTORE.exchange,4,0.43,0.3,0.03,10,0.3,838,3333.0
Bad Bunnies NFT,8,0.86,0.45,0.03,25,0.75,1905,5500.0
build your own shl0ms,1,0.11,20.0,0.0,1,0.0,5,5.0
Tunes Project,13,1.4,0.38,0.0,19,0.0,2242,4995.0
Crypto Mondrian //DARK,2,0.22,2.0,0.34,2,0.68,72,100.0
OpenPalette,11,1.19,0.27,0.0,27,0.0,2769,9902.0
More Loot,34,3.67,0.52,0.0,679,0.0,23783,130400.0
Bloot (not for Weaks),24,2.59,0.72,0.01,58,0.58,3914,8008.0
Devs for Revolution,12,1.29,0.28,0.19,22,4.18,6020,7825.0
Avime S01,3,0.32,0.65,0.01,100,1.0,482,15444.0
PUPOKIA,2,0.22,2.0,0.08,3,0.24,82,150.0
Creature World,76,8.2,1.6,0.69,160,110.39999999999999,6230,10000.0
Loot (for Adventurers),38,4.1,0.9,1.89,70,132.29999999999998,2569,7779.0
Chill Frogs NFT,7,0.76,0.32,0.03,19,0.57,2435,6000.0
Sad Girls Bar,27,2.91,0.58,0.13,58,7.54,4689,10000.0
Todd & Rahul's Angel Fund,5,0.54,1.25,1.0,5,5.0,396,399.0
Chubbies,12,1.29,0.75,0.04,75,3.0,3369,9997.0
Pixel Moon,1,0.11,2.47,0.05,2,0.1,23,81.0
BlockCities,3,0.32,0.62,0.08,20,1.6,633,3232.0
CryptoArte,77,8.31,1.92,0.09,190,17.099999999999998,3504,9894.0
National Beer Day 2022 - Journey,14,1.51,1400.0,0.14,14,1.9600000000000002,1247,1.0
ChipArt,98,10.57,30.43,0.03,213,6.39,333,700.0
ARBO Artifacts,9,0.97,167.39,0.01,77,0.77,1895,46.0
ARBO Heroes,7,0.76,0.23,0.06,23,1.38,1700,10000.0
Elemental by Fang Lijun,139,14.99,8.26,0.95,167,158.65,1257,2022.0
The Kiss Precise,74,7.98,17.29,0.17,129,21.930000000000003,445,746.0
MEV Army,31,3.34,0.82,0.07,82,5.74,3801,9999.0
Rubber Duckz,125,13.48,12.8,0.23,256,58.88,873,2000.0
Reactor Motors,10,1.08,0.26,0.03,23,0.69,4606,8888.0
PartyBear,14,1.51,0.42,1.15,41,47.15,4057,9668.0
SmolPunks,2,0.22,0.12,0.0,4,0.0,1288,3333.0
Every Icon,33,3.56,9.57,0.16,49,7.84,314,512.0
Budverse Cans - Heritage Edition,14,1.51,0.79,0.23,15,3.45,1245,1907.0
SEASON 0: GENESIS,1,0.11,33.33,0.05,1,0.05,278,3.0
ThorGuards,28,3.02,0.89,0.07,89,6.23,3123,9999.0
Brotchain,14,1.51,5.71,0.39,29,11.31,342,508.0
Stoner Cats,37,3.99,0.91,0.24,95,22.8,5026,10419.0
Illuvium,6,0.65,133.33,0.24,28,6.72,1962,21.0
Grailers,10,1.08,6.15,3.0,15,45.0,139,244.0
Anime Metaverse Soul,51,5.5,1.52,0.03,133,3.9899999999999998,4795,8749.0
Within/Without,6,0.65,2.6,0.48,8,3.84,199,308.0
MAX PAIN AND FRENS BY XCOPY,71,7.66,1.58,1.0,118,118.0,3596,7469.0
BinoGlyph,3,0.32,3.49,0.0,6,0.0,59,172.0
NFT mfers,2,0.22,14.29,2.8,8,22.4,16,56.0
Mutts Official NFT,1,0.11,0.07,0.0,1,0.0,448,1535.0
Doodles X Pets,3,0.32,2.91,0.08,18,1.44,283,619.0
superBLOX3D,3,0.32,0.19,0.01,3,0.03,484,1548.0
the daddys,2,0.22,2.22,0.11,7,0.77,132,316.0
Grifters by XCOPY,37,3.99,7.51,8.8,50,440.00000000000006,534,666.0
JPEG Cards,6,0.65,1.87,1.65,19,31.349999999999998,555,1018.0
Custom Idols,1,0.11,9.09,0.0,1,0.0,11,11.0
Space Cowboys Official,6,0.65,0.16,0.0,16,0.0,653,10000.0
CryptoPepes NFT,4,0.43,13.87,1.0,57,57.0,51,411.0
Iowest effort punks,6,0.65,8.85,0.0,329,0.0,161,3716.0
RTFKT PodX,81,8.74,8100.0,0.76,81,61.56,9114,1.0
A LIT Invitation to Kindness,30,3.24,1000.0,0.01,30,0.3,6110,3.0
sail-o-bots by sturec,14,1.51,2.8,3.3,21,69.3,411,750.0
SUPERPLASTIC:  Headtripz Pillz,23,2.48,800.0,0.08,24,1.92,1834,3.0
Totality by Hideki Tsukamoto,23,2.48,5.71,0.16,23,3.68,390,403.0
The Infinite Machine Movie Collection,10,1.08,0.6,0.11,25,2.75,1420,4165.0
The Wrapture by Dmitri Cherniak,3,0.32,8.0,0.0,4,0.0,35,50.0
Timeless Number,2,0.22,11.11,0.055,6,0.33,24,54.0
NFTfolio,4,0.43,133.33,0.15,4,0.6,101,3.0
Baby D Art,2,0.22,0.41,0.01,2,0.02,290,491.0
Light Beams by Jason Ting,6,0.65,6.0,6.0,9,54.0,88,150.0
Traversals by Loren Bednar,3,0.32,3.33,0.69,5,3.4499999999999997,97,150.0
MushyBaras,4,0.43,4.11,0.02,39,0.78,203,948.0
Nifty Island: Legendary Pistols,6,0.65,0.47,0.08,17,1.36,1921,3643.0
HALL OF FAME | The Chain Architect,2,0.22,20.0,0.0,2,0.0,10,10.0
24 Heures by Alexis André,8,0.86,14.04,52.0,8,416.0,57,57.0
Nyan Aoki,3,0.32,300.0,0.4,3,1.2000000000000002,94,1.0
ZombiePunks.Co,3,0.32,2.3,0.04,9,0.36,153,391.0
Quantum Curated,73,7.87,12.75,0.42,320,134.4,961,2509.0
Regulars,7,0.76,1.82,0.03,22,0.6599999999999999,410,1208.0
Gallery Premium Membership Cards,63,6.8,937.5,0.19,75,14.25,1080,8.0
Beacon Book Series,6,0.65,2.05,0.05,28,1.4000000000000001,665,1365.0
Archetype by Kjetil Golid,14,1.51,7.33,8.9,44,391.6,317,600.0
Apparitions by Aaron Penne,28,3.02,3.33,0.89,50,44.5,733,1500.0
Unigrids by Zeblocks,11,1.19,5.7,9.75,24,234.0,173,421.0
720 Minutes by Alexis André,21,2.27,5.0,1.85,36,66.60000000000001,459,720.0
Fragments of an Infinite Field by Monica Rizzolli,28,3.02,6.93,2.55,71,181.04999999999998,568,1024.0
Subscapes by Matt DesLauriers,15,1.62,4.0,5.49,26,142.74,266,650.0
Fidenza by Tyler Hobbs,32,3.45,7.01,46.4,70,3248.0,515,999.0
Spectron by Simon De Mai,10,1.08,5.75,1.49,23,34.27,208,400.0
Ringers by Dmitri Cherniak,18,1.94,5.8,42.0,58,2436.0,282,1000.0
NimBuds by Bryan Brinkman,12,1.29,5.75,2.45,23,56.35,246,400.0
Ignition by ge1doot,11,1.19,5.08,1.49,26,38.74,212,512.0
CryptoFlyz,34,3.67,1.4,0.02,98,1.96,3087,7025.0
Construction Token by Jeff Davis,16,1.73,5.0,3.7,25,92.5,254,500.0
Genesis by DCA,15,1.62,5.08,2.95,26,76.7,282,512.0
EnergySculpture by Beervangeer,9,0.97,7.86,0.24,29,6.96,203,369.0
Cyber Cities by pxlq,8,0.86,14.45,0.88,37,32.56,119,256.0
EIP-1559 Supporter Series,6,0.65,0.38,0.08,6,0.48,1352,1559.0
Paper Armada by Kjetil Golid,29,3.13,3.57,0.18,107,19.259999999999998,878,3000.0
R3sonance by ge1doot,10,1.08,4.49,0.86,23,19.78,249,512.0
Rhythm by Jeff Davis,9,0.97,9.58,1.6,32,51.2,162,334.0
The Eternal Pump by Dmitri Cherniak,3,0.32,8.0,474.99,4,1899.96,37,50.0
View Card by Jeff Davis,5,0.54,12.2,25.0,5,125.0,24,41.0
"2021, the year of NFTs",2,0.22,5.26,0.06,2,0.12,31,38.0
Perfect_Girlfriend Collection,1,0.11,2.5,0.07,1,0.07,11,40.0
Sockz (Edition 0),28,3.02,2.57,0.0,127,0.0,1922,4945.0
Wassies by Wassies,16,1.73,0.53,0.69,51,35.19,2630,9546.0
Cyber Factory 2,93,10.03,2120.0,0.54,106,57.24,9407,5.0
Woodies Mint Passport,3,0.32,100.0,0.17,3,0.51,138,3.0
Mystery NFT Box,3,0.32,1.13,0.05,3,0.15000000000000002,132,265.0
Lost Grids,1,0.11,1.0,0.09,1,0.09,12,100.0
say it back,4,0.43,2.51,0.02,23,0.46,266,918.0
CanvaIsland avatars,1,0.11,0.65,0.5,1,0.5,95,153.0
PixMons,3,0.32,0.98,0.01,5,0.05,166,512.0
When Merge,3,0.32,109.09,0.3,12,3.5999999999999996,121,11.0
AlienPunks NFT,3,0.32,0.95,0.01,18,0.18,780,1898.0
Dynamic Slices by pxlq,14,1.51,5.66,1.15,29,33.349999999999994,254,512.0
Hunted Stills Digital Album,2,0.22,22.22,0.1,2,0.2,3,9.0
Nifty Island: Ultra Blades,7,0.76,600.0,0.42,12,5.04,236,2.0
Curse NFT Tickets,4,0.43,0.6,0.02,6,0.12,520,1000.0
BIg PP Gifts,1,0.11,1.28,4.0,1,4.0,62,78.0
Singularity by Hideki Tsukamoto,23,2.48,4.98,2.65,51,135.15,396,1024.0
Moon Phases NFT,1,0.11,12.5,1.0,1,1.0,8,8.0
The Soft Bid Guy,1,0.11,5.56,0.69,1,0.69,17,18.0
The Fuckin' Trolls,15,1.62,0.55,0.01,55,0.55,2046,10003.0
AI Art Animations - 4K 60 FPS,1,0.11,1.54,0.06,1,0.06,27,65.0
Nouns,8,0.86,3.37,68.88,9,619.92,167,267.0
Nifty Island: Legendary Palms,8,0.86,133.33,1.99,8,15.92,564,6.0
CryptoDickbutts,19,2.05,1.23,0.94,64,60.16,1665,5200.0
Avid Lines,16,1.73,5.6,2.5,28,70.0,262,500.0
ACK Unique Editions / 1 of 1's,2,0.22,5.26,30.0,3,90.0,41,57.0
MemeCalfNFT,10,1.08,0.84,0.03,10,0.3,335,1194.0
SUPERPLASTIC: Cryptojankyz,36,3.88,0.46,0.25,64,16.0,5776,13868.0
Mirror Editions V4,7,0.76,1.07,0.2,11,2.2,841,1026.0
Washington Wizards Starting Five Collection,3,0.32,140.0,0.05,7,0.35000000000000003,184,5.0
DeNations Art Open Edition,15,1.62,1500.0,0.05,15,0.75,1048,1.0
Isosceles,5,0.54,33.33,0.93,7,6.510000000000001,18,21.0
Fast Food Punks,3,0.32,0.3,0.25,3,0.75,301,1000.0
HDPunks,5,0.54,0.1,0.02,10,0.2,1171,10000.0
Exploding Watches,1,0.11,100.0,0.09,1,0.09,7,1.0
Crypto Axe,1,0.11,30.0,0.05,3,0.15000000000000002,30,10.0
Mutant Garden Seeder,9,0.97,3.7,3.25,19,61.75,280,513.0
Meta Bots,4,0.43,0.13,0.0,13,0.0,1120,10000.0
CryptoPunks Alive,1,0.11,0.46,0.09,2,0.18,158,432.0
Dexamol Swarm,3,0.32,300.0,0.4,3,1.2000000000000002,119,1.0
CryptoSongz,5,0.54,0.5,0.05,5,0.25,422,996.0
Mars26,3,0.32,0.22,0.01,3,0.03,180,1371.0
RTFKT PUNK PROJECT GEN 1,18,1.94,11.43,5.74,56,321.44,265,490.0
PUNKS Comic,64,6.9,2.35,0.1,406,40.6,6956,17301.0
Gener8tive Mutations,9,0.97,10.89,0.25,28,7.0,159,257.0
Eulerbeat Dreams Coverart & Mp3,1,0.11,100.0,0.0,1,0.0,41,1.0
NyanDogg,4,0.43,2.83,0.85,6,5.1,100,212.0
Solvency by Ezra Miller,8,0.86,2.2,3.5,11,38.5,246,500.0
DeFiLand Stamps,1,0.11,0.95,0.02,1,0.02,7,105.0
NEKO Official,4,0.43,0.1,0.02,8,0.16,2529,7703.0
Concrete Park,9,0.97,0.26,0.01,10,0.1,487,3866.0
Laguna Beach,3,0.32,5.88,0.01,3,0.03,16,51.0
SOLOS,16,1.73,2.66,0.06,73,4.38,961,2746.0
ETHUSDNFT,1,0.11,3.33,0.01,1,0.01,6,30.0
Life NFT,3,0.32,1.37,1.0,3,3.0,108,219.0
Layer-2 Pepe,1,0.11,1.16,0.9,1,0.9,82,86.0
EulerBeats LP13 Generative Cover Art,2,0.22,3.33,0.5,2,1.0,57,60.0
Ether Cards Founder,9,0.97,1.18,0.32,118,37.76,1472,10000.0
Nyan Cat (Official),10,1.08,158.33,0.64,38,24.32,633,24.0
Deafbeef,9,0.97,9.01,35.0,20,700.0,102,222.0
The Pixel Portraits OG Collection,5,0.54,1.99,0.25,20,5.0,545,1003.0
The NFTBirds,5,0.54,0.87,0.09,13,1.17,715,1499.0
World of Ethereum Trophies,1,0.11,25.0,48.0,1,48.0,13,4.0
Non Fungible Tulips,1,0.11,0.83,1.0,1,1.0,37,120.0
One Dot,1,0.11,9.09,0.15,1,0.15,4,11.0
LP07,2,0.22,3.45,1.5,2,3.0,57,58.0
FEWOCiOUS x RTFKT,15,1.62,2.42,3.66,22,80.52000000000001,528,909.0
Daily Dips,1,0.11,2.56,0.05,1,0.05,21,39.0
Crypto Font - Collectible Editions,3,0.32,2.36,1.5,3,4.5,89,127.0
Rainbows,1,0.11,6.67,21.21,2,42.42,20,30.0
The Anesidora Group,1,0.11,2.94,0.2,1,0.2,27,34.0
EulerBeats Genesis,12,1.29,83.33,1.2,45,54.0,439,54.0
Rare Bears,3,0.32,18.75,0.0,3,0.0,23,16.0
Justin Aversano - Twin Flames - Collection of 100 Twin Portraits,8,0.86,9.0,296.69,9,2670.21,87,100.0
Hashmasks,40,4.31,0.55,0.55,90,49.50000000000001,5128,16364.0
Twerky Club,7,0.76,17.74,0.08,11,0.88,721,62.0
HASH by POB,19,2.05,0.8,0.01,53,0.53,2447,6595.0
Yotta,1,0.11,12.5,0.75,1,0.75,8,8.0
BEEPLE: EVERYDAYS - THE 2020 COLLECTION,5,0.54,0.97,27.25,7,190.75,203,722.0
Thorchain Collectibles,2,0.22,14.81,0.15,12,1.7999999999999998,1033,81.0
Slimesunday,4,0.43,0.3,0.28,4,1.12,191,1328.0
FEWOCiOUS,11,1.19,1.11,1.55,19,29.45,894,1705.0
BEEPLE - GENESIS COLLECTION,1,0.11,0.98,95.0,1,95.0,46,102.0
Palette Season,1,0.11,8.33,0.01,1,0.01,5,12.0
REDLIONEYE GAZETTE,16,1.73,6.03,0.02,241,4.82,1635,3998.0
The People's Potato by Second Realm,1,0.11,14.29,0.05,1,0.05,692,7.0
Big Naza,2,0.22,25.0,0.44,5,2.2,39,20.0
Squiggly,2,0.22,5.0,49.0,5,245.0,54,100.0
Avastars,41,4.42,0.67,0.1,173,17.3,5089,25738.0
Colorglyphs,9,0.97,4.04,3.65,21,76.64999999999999,155,520.0
XCOPY,33,3.56,4.1,6.49,58,376.42,600,1415.0
POAP,48,5.18,0.23,0.01,78,0.78,21480,34663.0
Autoglyphs,5,0.54,2.15,177.0,11,1947.0,152,512.0
MLB Champions,7,0.76,0.38,0.0049,949,4.6501,2638,249111.0
KnownOrigin,74,7.98,0.51,0.01,311,3.11,11418,61565.0
CryptoPunks,66,7.12,1.72,66.5,172,11438.0,3421,9999.0
MakersPlace,42,4.53,0.24,0.02,199,3.98,15964,84190.0
Gener8tive K-Compositions,9,0.97,10.4,3.5,26,91.0,130,250.0
CryptoKitties,44,4.75,0.01,0.0,209,0.0,115016,2011530.0
Axie Infinity,12,1.29,0.06,0.0,159,0.0,45276,283781.0
podGANS,56,6.04,12.6,0.65,129,83.85000000000001,670,1024.0
10KTF: GUCCI GRAIL MINT PASS,14,1.51,1400.0,0.28,14,3.9200000000000004,171,1.0
by Val Kilmer X Remo,1,0.11,0.03,0.0,1,0.0,3715,3833.0
PORTAL - Testing Token,1,0.11,100.0,0.0,1,0.0,7,1.0
G.I. Toadz,17,1.83,0.7,0.02,49,0.98,2624,6969.0
Life of Mon,12,1.29,1200.0,0.69,12,8.28,96,1.0
Invisible Friends,23,2.48,0.5,6.1,25,152.5,4117,5000.0
Starcatchers,15,1.62,1.4,0.16,140,22.400000000000002,5578,10000.0
Clementines Nightmare,3,0.32,0.12,0.29,6,1.7399999999999998,3308,5000.0
Candy Hunters,7,0.76,0.59,0.02,59,1.18,4494,10000.0
Pointless Pebbles,2,0.22,0.96,0.01,7,0.07,182,726.0
Deadfrenz Collection,35,3.78,0.67,0.28,66,18.48,6076,9815.0
Eccentrics Playing Cards,8,0.86,9.09,0.25,10,2.5,91,110.0
Confecta by Nick Kuder,17,1.83,24.0,1.4,24,33.599999999999994,78,100.0
Meta Angels NFT,17,1.83,0.55,0.21,55,11.549999999999999,4818,10000.0
The Aquatica Collection,70,7.55,45.25,0.02,138,2.7600000000000002,169,305.0
Cool Pets NFT,87,9.39,1.53,1.65,286,471.9,9781,18751.0
Surf Dreamz by Dann Petty,5,0.54,3.25,0.1,13,1.3,212,400.0
The Tiger Archives - PMC x Tiger Beer,13,1.4,0.34,0.02,23,0.46,2775,6688.0
Lives of Asuna,12,1.29,0.27,0.18,27,4.859999999999999,5549,10000.0
Teen Rebel Ape Club,6,0.65,0.41,0.02,30,0.6,1742,7253.0
Floor App Gen 3,20,2.16,2.09,0.16,46,7.36,1529,2197.0
The Noble Medici,13,1.4,1300.0,0.02,13,0.26,1417,1.0
Rug Radio - Genesis NFT,78,8.41,1.02,0.36,204,73.44,10053,20000.0
HPPRS Collection,10,1.08,0.69,0.08,51,4.08,2899,7409.0
Bored Doodle Punk Club,33,3.56,4.08,0.01,102,1.02,940,2500.0
WonderPals,19,2.05,0.37,0.36,37,13.32,6838,10000.0
Pukenza,46,4.96,1.41,0.06,113,6.779999999999999,3584,8010.0
Rug Radio Membership Pass,82,8.85,0.74,0.06,149,8.94,13645,20000.0
A.N.I.M.O,18,1.94,1.05,0.12,105,12.6,3592,10000.0
Rituals - Venice by Aaron Penne x Boreta,17,1.83,3.1,0.3,31,9.299999999999999,632,1000.0
Rapture by Thomas Lin Pedersen,21,2.27,3.3,0.2,33,6.6000000000000005,583,1000.0
Flamingo Flutter,85,9.17,9.37,0.16,152,24.32,864,1622.0
mull Collection,1,0.11,0.0,0.0,0,0.0,1,1.0
PREMINT Original Passes,1,0.11,0.0,0.0,0,0.0,1,1.0
Gazers by Matt Kane,24,2.59,4.0,6.0,40,240.0,410,1000.0
Pidgies: Spy Pidgies Yob Squab,12,1.29,1.19,0.01,92,0.92,1643,7753.0
Noundles,11,1.19,0.47,0.03,35,1.05,3173,7465.0
3NTITY-8PIRIT G3NERATION,3,0.32,0.41,0.03,10,0.3,862,2431.0
Grailers Original,23,2.48,4.51,1.87,41,76.67,306,909.0
Presessence Vol 1 - The Album,3,0.32,300.0,0.04,21,0.84,411,7.0
Color Study by Jeff Davis,17,1.83,6.15,0.47,123,57.809999999999995,420,2000.0
Meridian by Matt DesLauriers,33,3.56,5.8,4.5,58,261.0,615,1000.0
Bamboozlers,5,0.54,0.26,0.02,26,0.52,842,10000.0
DOS Toadz by CharToadz,1,0.11,1.53,0.05,2,0.1,72,131.0
gm...,1,0.11,100.0,0.0,1,0.0,1,1.0
PixelBeasts (Beastopia),14,1.51,1.16,0.01,116,1.16,3273,9999.0
DOS Punks,6,0.65,1.21,0.44,6,2.64,296,497.0
GAWDS,15,1.62,2.49,0.04,134,5.36,1568,5388.0
Himinn by Sarah Ridgley,12,1.29,3.17,0.3,17,5.1,326,536.0
"""Crypto Packaged"" GOODS - Genesis Passes",11,1.19,100.0,12.0,11,132.0,303,11.0
Haiku I,6,0.65,66.67,2.5,8,20.0,10,12.0
Infinites IRL,11,1.19,4.33,0.24,43,10.32,439,993.0
Flowing Earth,3,0.32,14.0,0.3,7,2.1,26,50.0
Trauma Llamas Club,1,0.11,0.22,0.0,1,0.0,237,449.0
GEN.ART Airdrop Collection,31,3.34,0.94,0.01,76,0.76,2754,8122.0
LOSTPOETS,54,5.83,1.34,0.32,372,119.04,8378,27784.0
Animated Nouns,3,0.32,9.8,0.5,5,2.5,23,51.0
Especial Orbs,4,0.43,1.5,0.02,4,0.08,213,266.0
Cowboy Punks,1,0.11,0.29,0.11,1,0.11,119,346.0
The CAPTCHAs,34,3.67,2.47,0.0,96,0.0,1600,3879.0
Dot Matrix Gradient Study by Jake Rockland,7,0.76,2.78,0.14,15,2.1,372,540.0
Monster Icons,5,0.54,13.64,8.0,6,48.0,38,44.0
Apocalypse Font,3,0.32,13.89,6.0,5,30.0,20,36.0
bitGANs,14,1.51,5.04,0.67,26,17.42,288,516.0
with the light,10,1.08,19.19,1.9,19,36.1,67,99.0
ArcadeNFT,19,2.05,0.43,0.04,26,1.04,3183,6076.0
Descarguitas,1,0.11,3.0,0.03,3,0.09,9,100.0
The Fiiidgt Collection,1,0.11,16.67,0.04,3,0.12,142,18.0
Spawns,6,0.65,200.0,0.92,18,16.560000000000002,66,9.0
Des Monsters,2,0.22,5.88,100.0,3,300.0,36,51.0
Block Mazing,3,0.32,1.95,0.15,5,0.75,114,256.0
haute:memory,4,0.43,4.26,0.5,4,2.0,55,94.0
SugarSkullz,1,0.11,0.33,0.01,1,0.01,115,300.0
moonholders,5,0.54,180.0,3.5,9,31.5,37,5.0
play with light,2,0.22,15.38,0.09,4,0.36,12,26.0
community triptych,3,0.32,33.33,4.44,3,13.32,7,9.0
MAIN OBJECT,6,0.65,19.0,0.1,19,1.9000000000000001,56,100.0
